slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
19990	23	1121	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2258	0	51979	158	42	116	54395	0	0	0	0	0	0.0	0.0	0.0	0.0
19991	23	1377	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2297	0	51088	162	43	119	53547	0	0	0	0	0	0.0	0.0	0.0	0.0
19992	23	1633	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	2601	0	50677	150	33	117	53428	0	0	0	0	0	0.0	0.0	0.0	0.0
19993	23	1889	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1920	0	52658	155	37	118	54733	0	0	0	0	0	0.0	0.0	0.0	0.0
19994	23	2145	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1685	0	53958	149	30	119	55792	0	0	0	0	0	0.0	0.0	0.0	0.0
19995	23	2401	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	2905	0	53249	146	30	116	56300	0	0	0	0	0	0.0	0.0	0.0	0.0
19996	23	2657	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1614	0	54349	154	32	122	56117	0	0	0	0	0	0.0	0.0	0.0	0.0
19997	23	2913	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1983	0	54715	150	32	118	56848	0	0	0	0	0	0.0	0.0	0.0	0.0
19998	23	3169	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	3875	0	52500	153	30	123	56528	0	0	0	0	0	0.0	0.0	0.0	0.0
19999	23	3425	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	2725	0	52830	149	30	119	55704	0	0	0	0	0	0.0	0.0	0.0	0.0
