depth	round	execution_index	returncode	mismatch	max_abs	max_rel	hash	l05_ms	l1_ms	l2_ms
8	21	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.251456	5.716000	6.140928
12	21	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.546304	8.549344	9.178112
16	21	2	1	162	0.078125	10742.188	621738651f623f5b	11.398816	11.388928	12.244160
2	21	3	0	0	0.015625	3.2	2398bfeb94e20663	1.423360	1.428480	1.528832
4	21	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	3.003392	3.292160
6	21	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.335616	4.277184	4.608000
12	22	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.555392	8.549440	9.178112
16	22	1	1	162	0.078125	10742.188	621738651f623f5b	11.391232	11.380800	12.455584
2	22	2	0	0	0.015625	3.2	2398bfeb94e20663	1.563648	1.561600	1.678496
4	22	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	3.127296	3.124224	3.337216
6	22	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.691072	4.690976	4.661248
8	22	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.252544	5.699584	6.124864
16	23	0	1	162	0.078125	10742.188	621738651f623f5b	11.396096	11.386944	12.220416
2	23	1	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.423456	1.527680
4	23	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.848768	2.848768	3.241152
6	23	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.689568	4.698240	4.976640
8	23	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	6.256544	6.032384	6.322048
12	23	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.619008	8.774656	9.174784
2	24	0	0	0	0.015625	3.2	2398bfeb94e20663	1.423616	1.428224	1.528736
4	24	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.851840	3.072000
6	24	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.686688	4.265984	4.589184
8	24	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.694464	5.689344	6.118528
12	24	4	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.574976	8.557664	9.216768
16	24	5	1	162	0.078125	10742.188	621738651f623f5b	11.385888	11.347968	12.242880
4	25	0	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.845696	2.847808	3.070976
6	25	1	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269056	4.263936	4.610048
8	25	2	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.690368	5.675008	6.133600
12	25	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.539168	8.536896	9.234816
16	25	4	1	162	0.078125	10742.188	621738651f623f5b	11.429760	11.911040	12.282880
2	25	5	0	0	0.015625	3.2	2398bfeb94e20663	1.423072	1.425184	1.524384
6	26	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.577280	4.456096	4.704064
8	26	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.837824	5.697632	6.149120
12	26	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.546304	8.538176	9.205824
16	26	3	1	162	0.078125	10742.188	621738651f623f5b	11.379808	11.364416	12.270592
2	26	4	0	0	0.015625	3.2	2398bfeb94e20663	1.424384	1.427520	1.530976
4	26	5	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847744	2.848736	3.074880
8	27	0	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.691392	5.689344	6.139904
12	27	1	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.851456	8.548352	9.214976
16	27	2	1	162	0.078125	10742.188	621738651f623f5b	11.387904	11.358112	12.193696
2	27	3	0	0	0.015625	3.2	2398bfeb94e20663	1.422336	1.426432	1.531904
4	27	4	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.847744	2.841696	3.056640
6	27	5	0	0	0.03125	2929.6875	34776df8054c3c2c	4.268032	4.266752	4.591584
12	28	0	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.540160	8.526688	9.179232
16	28	1	1	162	0.078125	10742.188	621738651f623f5b	12.141568	11.636544	12.235776
2	28	2	0	0	0.015625	3.2	2398bfeb94e20663	1.422336	1.426496	1.528672
4	28	3	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.843456	3.057664
6	28	4	0	0	0.03125	2929.6875	34776df8054c3c2c	4.269056	4.274176	4.579328
8	28	5	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.691392	5.691232	6.129664
16	29	0	1	162	0.078125	10742.188	621738651f623f5b	11.381600	11.381824	12.300416
2	29	1	0	0	0.015625	3.2	2398bfeb94e20663	1.424288	1.425216	1.529856
4	29	2	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846016	2.838528	3.049504
6	29	3	0	0	0.03125	2929.6875	34776df8054c3c2c	4.267008	4.265728	4.590304
8	29	4	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.693440	5.695584	6.113312
12	29	5	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.763392	8.554144	9.197376
2	30	0	0	0	0.015625	3.2	2398bfeb94e20663	1.423360	1.424128	1.524928
4	30	1	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.847808	3.059808
6	30	2	0	0	0.03125	2929.6875	34776df8054c3c2c	4.267008	4.274176	4.615168
8	30	3	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.693440	5.692128	6.140928
12	30	4	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.545984	8.548384	9.205536
16	30	5	1	162	0.078125	10742.188	621738651f623f5b	11.383968	11.375328	12.281696
4	31	0	0	0	0.03125	2929.6875	c3217e44b4e94d02	2.846720	2.849856	3.057664
6	31	1	0	0	0.03125	2929.6875	34776df8054c3c2c	4.690112	4.268096	4.601856
8	31	2	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.692416	5.700704	6.133760
12	31	3	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.538112	8.534784	9.158560
16	31	4	1	162	0.078125	10742.188	621738651f623f5b	11.388864	11.399200	12.300992
2	31	5	0	0	0.015625	3.2	2398bfeb94e20663	1.424352	1.427520	1.529856
6	32	0	0	0	0.03125	2929.6875	34776df8054c3c2c	4.266624	4.273856	4.582400
8	32	1	1	4	0.046875	6835.9375	f86acee8a76b2ef3	5.695776	5.698496	6.154336
12	32	2	1	59	0.0625	3906.25	f2c9f237c088aa9b	8.542208	8.527872	9.175040
