stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
89	serving.s89	rmsnorm	4	2549227.6302789724	2553981.2286863304	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
90	serving.s90	gemm	128	2555216.6404873305	2578981.6825623866	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
91	serving.s91	fused_attention	160	2580217.0943633867	2653008.7841553232	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
92	serving.s92	attention_merge	32	2650783.6756219231	2659125.0639189044	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
93	serving.s93	gemm	64	2660360.4757199045	2675537.5000816314	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
94	serving.s94	rmsnorm	4	2676772.9118826315	2681526.5102899894	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
95	serving.s95	swiglu_gemm	96	2682761.9220909895	2744801.4329887424	169379.348256	438657.45139200002	5244639.9198482484	103116.326688
96	serving.s96	gemm	64	2746036.8447897425	2779709.0176549233	112919.565504	197821.02374400001	1775534.256331563	68744.217791999996
97	serving.s97	rmsnorm	4	2780944.4294559234	2785698.0278632813	7057.4728439999999	3374.5341616000001	4285.8730118311942	4296.5136119999997
98	serving.s98	gemm	128	2786933.4396642814	2810698.4817393376	225839.131008	356883.63366400002	2321714.1853511333	137488.43558399999
99	serving.s99	fused_attention	160	2811933.8935403377	2884725.5833322741	282298.91375999927	1351969.6521855977	3808285.3562941551	171860.54448000013
100	serving.s100	attention_merge	32	2882500.474798874	2890841.8630958553	56459.782751999999	50764.941343999999	14590.941810593009	34372.108895999998
101	serving.s101	gemm	64	2892077.2748968555	2907254.2992585823	112919.565504	197821.02374400001	591844.75211051106	68744.217791999996
