model	seq	kappa	round	arm	l1_ms	l2_ms
gqa2	128	1	16	nowait	0.562176	0.543744
gqa2	128	1	16	neither	0.563136	0.509952
gqa2	128	1	16	l1nosync	0.525344	1.012800
gqa2	128	1	17	nowait	0.562176	0.545600
gqa2	128	1	17	neither	0.565440	0.510976
gqa2	128	1	17	l1nosync	0.522464	1.014016
gqa2	128	1	17	full	0.562400	1.013600
gqa2	128	1	18	neither	0.562400	0.510976
gqa2	128	1	18	l1nosync	0.525312	1.014624
gqa2	128	1	18	full	0.563424	1.013536
gqa2	128	1	18	nowait	0.563200	0.544768
gqa2	128	1	19	l1nosync	0.523168	1.010528
gqa2	128	1	19	full	0.565344	1.013760
gqa2	128	1	19	nowait	0.564224	0.547840
gqa2	128	1	19	neither	0.561152	0.511744
gqa2	128	1	20	full	0.561312	1.012736
gqa2	128	1	20	nowait	0.563200	0.545792
gqa2	128	1	20	neither	0.562368	0.509952
gqa2	128	1	20	l1nosync	0.525248	1.013760
gqa2	128	1	21	nowait	0.562176	0.545792
gqa2	128	1	21	neither	0.562336	0.510208
gqa2	128	1	21	l1nosync	0.523200	1.012736
gqa2	128	1	21	full	0.564224	1.012672
gqa2	128	1	22	neither	0.564384	0.508928
gqa2	128	1	22	l1nosync	0.524064	1.013600
gqa2	128	1	22	full	0.565024	1.012736
gqa2	128	1	22	nowait	0.565024	0.543616
gqa2	128	1	23	l1nosync	0.523424	1.012032
gqa2	128	1	23	full	0.564224	1.011712
gqa2	128	1	23	nowait	0.564128	0.543936
gqa2	128	1	23	neither	0.564416	0.512096
gqa2	128	1	24	full	0.564320	1.013600
gqa2	128	1	24	nowait	0.563200	0.544928
gqa2	128	1	24	neither	0.562176	0.510976
gqa2	128	1	24	l1nosync	0.524288	1.013568
gqa2	128	1	25	nowait	0.562176	0.545792
gqa2	128	1	25	neither	0.565184	0.512000
gqa2	128	1	25	l1nosync	0.524288	1.012736
gqa2	128	1	25	full	0.563200	1.012736
mha4	4	0	1	nowait	0.794400	0.758784
mha4	4	0	1	neither	0.792512	0.701440
mha4	4	0	1	l1nosync	0.724992	0.868352
mha4	4	0	1	full	0.792576	0.867328
mha4	4	0	2	neither	0.792480	0.704512
mha4	4	0	2	l1nosync	0.723808	0.863232
mha4	4	0	2	full	0.793600	0.865184
mha4	4	0	2	nowait	0.791712	0.758784
mha4	4	0	3	l1nosync	0.723968	0.865280
mha4	4	0	3	full	0.793760	0.869120
mha4	4	0	3	nowait	0.792800	0.764064
mha4	4	0	3	neither	0.794624	0.695168
mha4	4	0	4	full	0.792768	0.862112
mha4	4	0	4	nowait	0.794784	0.764064
mha4	4	0	4	neither	0.791680	0.700416
mha4	4	0	4	l1nosync	0.719872	0.867168
mha4	4	0	5	nowait	0.793792	0.766720
mha4	4	0	5	neither	0.794816	0.700416
