stage	task	category	start_ns	end_ns	wait_ns	fixed_ns	mainloop_ns	publication_ns	hop_ns
133	63	gemm	1481221.8961354666	1555677.6534902218	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
134	3	swiglu	1556913.0652912217	1562229.3241774202	1764.3682109690692	1246.9930311956209	1230.769241363043	1074.1284026707756	1235.411801
135	127	gemm	1563464.7359784201	1602640.8306177396	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
136	3	rmsnorm	1603876.2424187395	1609229.088555275	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
137	63	gemm	1610464.5003562749	1628746.7654446953	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
140	127	rope	1629982.1772456951	1632594.8329057682	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
144	127	attention	1632594.8329057682	1636770.7761659084	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
145	127	gemm	1638006.1879669083	1651544.2815669617	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
146	3	rmsnorm	1652779.6933679616	1658132.5395044971	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
148	63	gemm	1659367.951305497	1733823.7086602522	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
149	3	swiglu	1735059.1204612521	1740375.3793474506	1764.3682109690692	1246.9930311956209	1230.769241363043	1074.1284026707756	1235.411801
150	127	gemm	1741610.7911484505	1780786.8857877699	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
151	3	rmsnorm	1782022.2975887698	1787375.1437253053	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
152	63	gemm	1788610.5555263052	1806892.8206147256	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
155	127	rope	1808128.2324157255	1810740.8880757985	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
159	127	attention	1810740.8880757985	1814916.8313359388	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
160	127	gemm	1816152.2431369387	1829690.336736992	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
161	3	rmsnorm	1830925.7485379919	1836278.5946745274	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
163	63	gemm	1837514.0064755273	1911969.7638302825	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
164	3	swiglu	1913205.1756312824	1918521.4345174809	1764.3682109690692	1246.9930311956209	1230.769241363043	1074.1284026707756	1235.411801
165	127	gemm	1919756.8463184808	1958932.9409578003	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
166	3	rmsnorm	1960168.3527588001	1965521.1988953357	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
167	63	gemm	1966756.6106963356	1985038.8757847559	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
170	127	rope	1986274.2875857558	1988886.9432458289	1764.3682109690692	839.94174564063587	8.3457034633029252	0	1235.411801
174	127	attention	1988886.9432458289	1993062.8865059691	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
175	127	gemm	1994298.298306969	2007836.3919070223	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
176	3	rmsnorm	2009071.8037080222	2014424.6498445577	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
178	63	gemm	2015660.0616455576	2090115.8190003128	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
179	3	swiglu	2091351.2308013127	2096667.4896875112	1764.3682109690692	1246.9930311956209	1230.769241363043	1074.1284026707756	1235.411801
180	127	gemm	2097902.9014885114	2137078.9961278308	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
181	3	rmsnorm	2138314.4079288309	2143667.2540653665	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
182	63	gemm	2144902.6658663666	2163184.9309547869	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
185	127	rope	2164420.3427557871	2167032.9984158599	1764.3682109690692	839.94174564063587	8.3457034630700946	0	1235.411801
189	127	attention	2167032.9984158599	2171208.9416760001	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
190	127	gemm	2172444.3534770003	2185982.4470770536	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
191	3	rmsnorm	2187217.8588780537	2192570.7050145892	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
193	63	gemm	2193806.1168155894	2268261.8741703448	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
194	3	swiglu	2269497.2859713449	2274813.5448575439	1764.3682109690692	1246.9930311956209	1230.7692413632758	1074.1284026707756	1235.411801
195	127	gemm	2276048.956658544	2315225.0512978635	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
196	3	rmsnorm	2316460.4630988636	2321813.3092353991	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
197	63	gemm	2323048.7210363992	2341330.9861248196	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
200	127	rope	2342566.3979258197	2345179.0535858925	1764.3682109690692	839.94174564063587	8.3457034630700946	0	1235.411801
204	127	attention	2345179.0535858925	2349354.9968460328	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
205	127	gemm	2350590.4086470329	2364128.5022470863	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
206	3	rmsnorm	2365363.9140480864	2370716.7601846219	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
208	63	gemm	2371952.171985622	2446407.9293403774	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
209	3	swiglu	2447643.3411413776	2452959.6000275766	1764.3682109690692	1246.9930311956209	1230.7692413632758	1074.1284026707756	1235.411801
210	127	gemm	2454195.0118285767	2493371.1064678961	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
211	3	rmsnorm	2494606.5182688963	2499959.3644054318	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
212	63	gemm	2501194.7762064319	2519477.0412948523	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
215	127	rope	2520712.4530958524	2523325.1087559252	1764.3682109690692	839.94174564063587	8.3457034630700946	0	1235.411801
219	127	attention	2523325.1087559252	2527501.0520160655	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
220	127	gemm	2528736.4638170656	2542274.5574171189	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
221	3	rmsnorm	2543509.969218119	2548862.8153546546	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
223	63	gemm	2550098.2271556547	2624553.9845104101	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
224	3	swiglu	2625789.3963114102	2631105.6551976092	1764.3682109690692	1246.9930311956209	1230.7692413632758	1074.1284026707756	1235.411801
225	127	gemm	2632341.0669986093	2671517.1616379288	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
226	3	rmsnorm	2672752.5734389289	2678105.4195754644	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
227	63	gemm	2679340.8313764646	2697623.0964648849	1764.3682109690692	2310.1196870980839	13133.64878768241	1074.1284026707756	1235.411801
230	127	rope	2698858.5082658851	2701471.1639259579	1764.3682109690692	839.94174564063587	8.3457034630700946	0	1235.411801
234	127	attention	2701471.1639259579	2705647.1071860981	1764.3682109690692	1237.298204940636	100.1484415596351	1074.1284026707756	0
235	127	gemm	2706882.5189870982	2720420.6125871516	1764.3682109690692	2153.5966399913086	8546.0003464221954	1074.1284026707756	1235.411801
236	3	rmsnorm	2721656.0243881517	2727008.8705246872	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
238	63	gemm	2728244.2823256874	2802700.0396804428	1764.3682109690692	3249.257969738735	68368.002771376632	1074.1284026707756	1235.411801
239	3	swiglu	2803935.4514814429	2809251.7103676419	1764.3682109690692	1246.9930311956209	1230.7692413632758	1074.1284026707756	1235.411801
240	127	gemm	2810487.122168642	2849663.2168079615	1764.3682109690692	2153.5966399913086	34184.001385688316	1074.1284026707756	1235.411801
241	3	rmsnorm	2850898.6286089616	2856251.4747454971	1764.3682109690692	2206.6572125548446	307.69231034070253	1074.1284026707756	1235.411801
242	500	lm_head	3283764.7859579818	3413495.5951972995	0	4501.4423465929376	125229.36689272476	0	1235.411801
