slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations
67	0	32	16	32	1	3072	1789817830292271104	6102945418842	1789817830292272128	6102945421310	1789817830292272128	6102945422635	1789817830292279296	6102945441641	1789817830292280320	6102945444276	1789817830292280320	6102945444412	6102945422878	6102945441407	8041	16
68	4	0	0	0	1	0	1789817830292288512	6102945467090	1789817830292288512	6102945468336	1789817830292288512	6102945468336	1789817830292291584	6102945475283	1789817830292291584	6102945475313	1789817830292291584	6102945475444	0	0	0	0
69	0	32	16	32	1	3072	1789817830292293632	6102945480658	1789817830292294656	6102945483133	1789817830292294656	6102945484025	1789817830292306944	6102945519077	1789817830292308992	6102945522961	1789817830292308992	6102945523093	6102945484179	6102945518776	14409	32
70	1	0	0	0	1	0	1789817830292312064	6102945532573	1789817830292313088	6102945533825	1789817830292313088	6102945533825	1789817830292313088	6102945536362	1789817830292314112	6102945538189	1789817830292314112	6102945538322	0	0	0	0
71	0	32	16	32	1	3072	1789817830292316160	6102945543879	1789817830292317184	6102945546061	1789817830292317184	6102945546977	1789817830292323328	6102945563445	1789817830292324352	6102945565917	1789817830292324352	6102945566127	6102945547023	6102945563301	6915	16
72	2	0	0	0	1	0	1789817830292329472	6102945579338	1789817830292329472	6102945580657	1789817830292329472	6102945580657	1789817830292330496	6102945582670	1789817830292330496	6102945582730	1789817830292330496	6102945583213	0	0	0	0
73	3	0	0	0	1	0	1789817830292331520	6102945587255	1789817830292332544	6102945588417	1789817830292332544	6102945588417	1789817830292332544	6102945589708	1789817830292332544	6102945589738	1789817830292332544	6102945589885	0	0	0	0
74	5	0	0	0	1	0	1789817830292336640	6102945599929	1789817830292337664	6102945601873	1789817830292337664	6102945601873	1789817830292361216	6102945667364	1789817830292361216	6102945667401	1789817830292361216	6102945667533	0	0	0	0
75	0	32	16	32	1	3072	1789817830292364288	6102945678183	1789817830292365312	6102945680463	1789817830292366336	6102945681474	1789817830292375552	6102945708527	1789817830292377600	6102945712566	1789817830292377600	6102945712697	6102945682193	6102945708314	13395	16
76	1	0	0	0	1	0	1789817830292380672	6102945720930	1789817830292381696	6102945723755	1789817830292381696	6102945723755	1789817830292381696	6102945726253	1789817830292382720	6102945728145	1789817830292382720	6102945728275	0	0	0	0
77	0	32	16	32	1	3072	1789817830292385792	6102945735720	1789817830292386816	6102945738723	1789817830292386816	6102945740068	1789817830292393984	6102945759511	1789817830292395008	6102945762052	1789817830292395008	6102945762322	6102945740096	6102945759238	9432	16
78	4	0	0	0	1	0	1789817830292402176	6102945780558	1789817830292402176	6102945781814	1789817830292402176	6102945781814	1789817830292404224	6102945788504	1789817830292405248	6102945788536	1789817830292405248	6102945788667	0	0	0	0
79	0	32	16	32	1	3072	1789817830292406272	6102945793599	1789817830292407296	6102945795864	1789817830292407296	6102945796794	1789817830292419584	6102945830104	1789817830292420608	6102945832846	1789817830292420608	6102945833255	6102945796819	6102945829935	14559	32
80	1	0	0	0	1	0	1789817830292200448	6102945224022	1789817830292200448	6102945225293	1789817830292200448	6102945225293	1789817830292201472	6102945227875	1789817830292202496	6102945229960	1789817830292202496	6102945230089	0	0	0	0
81	0	32	16	32	1	3072	1789817830292204544	6102945235439	1789817830292205568	6102945237650	1789817830292205568	6102945238592	1789817830292212736	6102945258770	1789817830292213760	6102945260848	1789817830292213760	6102945261068	6102945239329	6102945258652	5474	16
82	2	0	0	0	1	0	1789817830292215808	6102945266847	1789817830292216832	6102945268157	1789817830292216832	6102945268157	1789817830292216832	6102945269652	1789817830292216832	6102945269682	1789817830292216832	6102945269941	0	0	0	0
83	3	0	0	0	1	0	1789817830292217856	6102945273187	1789817830292218880	6102945274290	1789817830292218880	6102945274290	1789817830292218880	6102945275333	1789817830292218880	6102945275369	1789817830292218880	6102945275771	0	0	0	0
84	5	0	0	0	1	0	1789817830292221952	6102945284882	1789817830292222976	6102945286740	1789817830292222976	6102945286740	1789817830292246528	6102945352273	1789817830292246528	6102945352303	1789817830292246528	6102945352449	0	0	0	0
85	0	32	16	32	1	3072	1789817830292251648	6102945365484	1789817830292252672	6102945366876	1789817830292252672	6102945367906	1789817830292261888	6102945394156	1789817830292263936	6102945398474	1789817830292263936	6102945398604	6102945368529	6102945394048	9619	16
86	1	0	0	0	1	0	1789817830292267008	6102945407595	1789817830292267008	6102945408229	1789817830292267008	6102945408229	1789817830292268032	6102945411674	1789817830292269056	6102945412557	1789817830292269056	6102945412689	0	0	0	0
87	0	32	16	32	1	3072	1789817830292272128	6102945421604	1789817830292273152	6102945424210	1789817830292273152	6102945425748	1789817830292280320	6102945445321	1789817830292281344	6102945447808	1789817830292281344	6102945447989	6102945425939	6102945445135	8050	16
88	4	0	0	0	1	0	1789817830292288512	6102945467028	1789817830292288512	6102945468340	1789817830292288512	6102945468340	1789817830292291584	6102945474917	1789817830292291584	6102945474949	1789817830292291584	6102945475091	0	0	0	0
89	0	32	16	32	1	3072	1789817830292293632	6102945481184	1789817830292294656	6102945483209	1789817830292294656	6102945484250	1789817830292307968	6102945520611	1789817830292308992	6102945522551	1789817830292308992	6102945522753	6102945484305	6102945520469	13314	32
90	1	0	0	0	1	0	1789817830292312064	6102945532588	1789817830292313088	6102945533822	1789817830292313088	6102945533822	1789817830292313088	6102945536351	1789817830292314112	6102945538190	1789817830292314112	6102945538329	0	0	0	0
91	0	32	16	32	1	3072	1789817830292316160	6102945543805	1789817830292317184	6102945546134	1789817830292317184	6102945547217	1789817830292323328	6102945564100	1789817830292324352	6102945566098	1789817830292324352	6102945566228	6102945547423	6102945563999	6267	16
92	2	0	0	0	1	0	1789817830292329472	6102945579357	1789817830292329472	6102945580710	1789817830292329472	6102945580710	1789817830292330496	6102945582729	1789817830292330496	6102945582779	1789817830292330496	6102945583204	0	0	0	0
93	3	0	0	0	1	0	1789817830292331520	6102945587298	1789817830292332544	6102945588456	1789817830292332544	6102945588456	1789817830292332544	6102945589469	1789817830292332544	6102945589506	1789817830292332544	6102945589640	0	0	0	0
94	5	0	0	0	1	0	1789817830292336640	6102945599861	1789817830292337664	6102945601896	1789817830292337664	6102945601896	1789817830292361216	6102945667740	1789817830292361216	6102945667770	1789817830292361216	6102945667900	0	0	0	0
95	0	32	16	32	1	3072	1789817830292364288	6102945678176	1789817830292365312	6102945680511	1789817830292366336	6102945681488	1789817830292375552	6102945709079	1789817830292377600	6102945712757	1789817830292377600	6102945712918	6102945682130	6102945708956	8970	16
96	1	0	0	0	1	0	1789817830292380672	6102945721097	1789817830292381696	6102945723769	1789817830292381696	6102945723769	1789817830292381696	6102945726267	1789817830292382720	6102945728145	1789817830292382720	6102945728282	0	0	0	0
97	0	32	16	32	1	3072	1789817830292385792	6102945735662	1789817830292386816	6102945738766	1789817830292386816	6102945740074	1789817830292395008	6102945760864	1789817830292395008	6102945762148	1789817830292395008	6102945762375	6102945740106	6102945760579	7426	16
98	4	0	0	0	1	0	1789817830292402176	6102945780397	1789817830292402176	6102945781782	1789817830292402176	6102945781782	1789817830292405248	6102945788606	1789817830292405248	6102945788637	1789817830292405248	6102945788767	0	0	0	0
99	0	32	16	32	1	3072	1789817830292406272	6102945793665	1789817830292407296	6102945795921	1789817830292407296	6102945796861	1789817830292419584	6102945830346	1789817830292420608	6102945833757	1789817830292420608	6102945833900	6102945796958	6102945830211	11600	32
100	1	0	0	0	1	0	1789817830292200448	6102945224117	1789817830292200448	6102945225335	1789817830292200448	6102945225335	1789817830292201472	6102945227896	1789817830292202496	6102945229705	1789817830292202496	6102945229845	0	0	0	0
101	0	32	16	32	1	3072	1789817830292204544	6102945235466	1789817830292205568	6102945237693	1789817830292205568	6102945238850	1789817830292212736	6102945258980	1789817830292213760	6102945261125	1789817830292213760	6102945261260	6102945239380	6102945258888	5886	16
102	2	0	0	0	1	0	1789817830292215808	6102945266886	1789817830292216832	6102945268216	1789817830292216832	6102945268216	1789817830292216832	6102945269625	1789817830292216832	6102945269655	1789817830292216832	6102945269943	0	0	0	0
103	3	0	0	0	1	0	1789817830292217856	6102945273189	1789817830292218880	6102945274450	1789817830292218880	6102945274450	1789817830292218880	6102945275602	1789817830292218880	6102945275632	1789817830292218880	6102945275833	0	0	0	0
104	5	0	0	0	1	0	1789817830292221952	6102945284904	1789817830292222976	6102945286753	1789817830292222976	6102945286753	1789817830292246528	6102945352268	1789817830292246528	6102945352298	1789817830292246528	6102945352434	0	0	0	0
105	0	32	16	32	1	3072	1789817830292251648	6102945365489	1789817830292252672	6102945367273	1789817830292252672	6102945368078	1789817830292261888	6102945394368	1789817830292263936	6102945398308	1789817830292263936	6102945398457	6102945368979	6102945394262	7343	16
106	1	0	0	0	1	0	1789817830292267008	6102945407600	1789817830292267008	6102945408914	1789817830292267008	6102945408914	1789817830292269056	6102945412822	1789817830292269056	6102945413639	1789817830292269056	6102945413769	0	0	0	0
107	0	32	16	32	1	3072	1789817830292272128	6102945420473	1789817830292272128	6102945423260	1789817830292273152	6102945424405	1789817830292281344	6102945447334	1789817830292282368	6102945449219	1789817830292282368	6102945449470	6102945424508	6102945446952	7819	16
108	4	0	0	0	1	0	1789817830292288512	6102945467108	1789817830292288512	6102945468350	1789817830292288512	6102945468350	1789817830292291584	6102945474884	1789817830292291584	6102945474919	1789817830292291584	6102945475051	0	0	0	0
109	0	32	16	32	1	3072	1789817830292293632	6102945481188	1789817830292294656	6102945483278	1789817830292294656	6102945484609	1789817830292308992	6102945522779	1789817830292308992	6102945525166	1789817830292310016	6102945525295	6102945484770	6102945522692	14007	32
110	1	0	0	0	1	0	1789817830292312064	6102945532520	1789817830292313088	6102945533871	1789817830292313088	6102945533871	1789817830292313088	6102945536377	1789817830292314112	6102945538196	1789817830292314112	6102945538337	0	0	0	0
111	0	32	16	32	1	3072	1789817830292316160	6102945543897	1789817830292317184	6102945546215	1789817830292317184	6102945547489	1789817830292324352	6102945567690	1789817830292325376	6102945569324	1789817830292325376	6102945569453	6102945547535	6102945567589	5527	16
112	2	0	0	0	1	0	1789817830292329472	6102945579278	1789817830292329472	6102945580759	1789817830292329472	6102945580759	1789817830292330496	6102945582737	1789817830292330496	6102945582819	1789817830292330496	6102945583206	0	0	0	0
113	3	0	0	0	1	0	1789817830292331520	6102945587177	1789817830292332544	6102945588522	1789817830292332544	6102945588522	1789817830292332544	6102945589748	1789817830292332544	6102945589781	1789817830292332544	6102945589911	0	0	0	0
114	5	0	0	0	1	0	1789817830292336640	6102945599953	1789817830292337664	6102945601952	1789817830292337664	6102945601952	1789817830292361216	6102945667743	1789817830292361216	6102945667778	1789817830292361216	6102945667908	0	0	0	0
115	0	32	16	32	1	3072	1789817830292365312	6102945679194	1789817830292365312	6102945680568	1789817830292366336	6102945681624	1789817830292375552	6102945708788	1789817830292377600	6102945712586	1789817830292377600	6102945712716	6102945682122	6102945708569	10667	16
116	1	0	0	0	1	0	1789817830292380672	6102945721138	1789817830292381696	6102945723802	1789817830292381696	6102945723802	1789817830292381696	6102945726360	1789817830292382720	6102945728151	1789817830292382720	6102945728284	0	0	0	0
117	0	32	16	32	1	3072	1789817830292385792	6102945735741	1789817830292386816	6102945738886	1789817830292387840	6102945740686	1789817830292395008	6102945762441	1789817830292396032	6102945763567	1789817830292396032	6102945763697	6102945740752	6102945762329	9319	16
118	4	0	0	0	1	0	1789817830292402176	6102945780570	1789817830292402176	6102945781880	1789817830292402176	6102945781880	1789817830292404224	6102945788234	1789817830292404224	6102945788269	1789817830292404224	6102945788408	0	0	0	0
119	0	32	16	32	1	3072	1789817830292406272	6102945793707	1789817830292407296	6102945796002	1789817830292408320	6102945797286	1789817830292422656	6102945837183	1789817830292422656	6102945839326	1789817830292422656	6102945839456	6102945797378	6102945837092	11927	32
