group	cell	round	ratio	rotate_log	legacy_log
reference	mha4_s4	15	0.8672566371681416	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r15.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r15.log
reference	mha4_s4	16	0.8668639053254439	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r16.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r16.log
reference	mha4_s4	17	0.8615159013839244	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r17.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r17.log
reference	mha4_s4	18	0.8408408408408408	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r18.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r18.log
reference	mha4_s4	19	0.8918918918918919	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r19.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r19.log
reference	mha4_s4	20	0.8193792023579257	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r20.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r20.log
reference	mha4_s4	21	0.7974130546513619	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r21.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r21.log
reference	mha4_s4	22	0.8056863920527533	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r22.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r22.log
reference	mha4_s4	23	0.8128654970760233	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r23.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r23.log
reference	mha4_s4	24	0.8918918918918919	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/rotate__full/r24.log	/root/TileMega/docs/experiments/REBASE/bounded_raw/mha4_s4/measure/legacy_grid_stride__full/r24.log
