slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles	kloop_measured	k_iterations	kloop_body_cycles	kloop_wait_cycles	kloop_fixed_cycles	kloop_body_ns	kloop_wait_ns	kloop_fixed_ns	kloop_iteration_ns
650	44	23	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	2023	1070	18052	1929	1799	130	23074	1	16	15172	2760	120	6059.857501950248	1102.3732339429662	47.92927104099853	447.63942099332587
651	47	23	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	2051	1079	9255	1770	1640	130	14155	1	8	7836	1299	120	3401.2281172730486	563.8329918756623	52.086188625927235	495.63263864358885
652	49	7	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1193	0	1484	159	30	129	2836	0	0	0	0	0	0.0	0.0	0.0	0.0
653	54	23	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	2025	1077	9347	1485	1352	133	13934	1	8	7895	1332	120	2900.990383235252	489.43878283335727	44.0935840390412	423.8036457585762
654	56	23	0	0	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	2045	1076	9465	1300	1171	129	13886	1	8	7571	1774	120	3349.864899899179	784.9240962120122	53.0952038023909	516.8486245138989
655	59	23	0	0	32	16	64	1	6144	0	1024	7168	1024	1024	0	9216	2070	1073	17959	1963	1834	129	23065	1	16	14933	2906	120	5966.725688272274	1161.1400823758943	47.947973119445045	445.4916106655105
656	2	24	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1973	1059	9301	1069	939	130	13402	1	8	7686	1495	120	2936.3020444709746	571.138636024474	45.84390389494106	438.4300850619311
657	4	8	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1152	0	1653	374	30	344	3179	0	0	0	0	0	0.0	0.0	0.0	0.0
658	9	24	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1977	1066	9269	1683	1554	129	13995	1	8	7895	1254	120	2888.3458377992138	458.7695605573419	43.90139335476956	418.38942479456944
659	11	24	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1976	1060	9298	1054	925	129	13388	1	8	7896	1282	120	3019.6832984762477	490.2778607708396	45.89184344188826	438.74514490588587
660	14	24	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	1973	1062	18095	1849	1719	130	22979	1	16	15335	2640	120	6150.283302145437	1058.8032551460028	48.12742068845468	450.567909830715
661	17	24	0	0	32	16	64	1	6144	1024	1024	3072	1024	0	1024	6144	1960	1056	9154	1161	922	239	13331	1	8	7731	1303	120	3563.068336958968	600.5274923111544	55.30567849373641	520.4494786587653
662	19	8	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1136	0	1440	377	30	347	2953	0	0	0	0	0	0.0	0.0	0.0	0.0
663	24	24	0	0	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	1958	1062	9231	1438	1309	129	13689	1	8	7863	1248	120	3529.130834976989	560.1367521367522	53.85930309007232	511.15844838921765
664	26	24	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1988	1059	9161	1386	1148	238	13594	1	8	7773	1268	120	2927.5974694718257	477.57540091216714	45.19641018096219	425.6466087979991
665	29	24	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	1989	998	18016	1881	1752	129	22884	1	16	15049	2776	191	6060.635553224961	1117.9695857367594	76.92081803880441	448.66282118510753
666	32	24	0	0	32	16	64	1	6144	0	1024	3072	1024	1024	0	5120	1980	1058	9217	1662	1414	248	13917	1	8	7783	1314	120	2863.3297406050156	483.4145289933175	44.147445570165985	418.34303369979165
667	34	8	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1131	0	1443	159	30	129	2733	0	0	0	0	0	0.0	0.0	0.0	0.0
668	39	24	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	1996	1064	9281	1464	1335	129	13805	1	8	7825	1336	120	3482.56428830134	594.5950018109381	53.40673668960522	509.6449112640348
669	41	24	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	1956	1060	9304	1785	1533	252	14105	1	8	7959	1225	120	3466.8625310173697	533.5980148883375	52.2708259482453	500.0575682382134
670	44	24	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	1956	1059	18071	1873	1744	129	22959	1	16	15183	2768	120	6094.626421011368	1111.1062328498629	48.16934535476284	450.3582908663269
671	47	24	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	1992	1049	9193	1509	1379	130	13743	1	8	7758	1315	120	3468.3222003929272	587.889107181838	53.64767518009168	507.02641344684565
672	49	8	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1155	0	1437	159	30	129	2751	0	0	0	0	0	0.0	0.0	0.0	0.0
673	54	24	0	0	32	16	64	1	6144	1024	0	4096	1024	0	1024	6144	1961	1064	9449	1463	1334	129	13937	1	8	8050	1279	120	3548.769462581617	563.8355456697998	52.900911243452676	514.0756260314271
674	56	24	0	0	32	16	64	1	6144	1024	0	4096	1024	1024	0	6144	1985	1058	9214	1278	1149	129	13535	1	8	7882	1212	120	3577.909715552272	550.1683043960104	54.47210934613964	516.0097524935353
675	59	24	0	0	32	16	64	1	6144	0	1024	7168	1024	1024	0	9216	2005	1064	18085	2127	1998	129	23281	1	16	15295	2670	120	6054.667754821528	1056.9442893346506	47.503114127400025	444.4757527597612
676	2	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1892	987	9357	1047	917	130	13283	1	8	7926	1247	184	3055.117066927652	480.6625009410525	70.92373710758112	441.97244598358805
677	4	9	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1093	0	1374	159	30	129	2626	0	0	0	0	0	0.0	0.0	0.0	0.0
678	9	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1919	1049	9250	1631	1501	130	13849	1	8	7919	1211	120	2927.6684237129034	447.7088598454762	44.36421402267312	421.92216044479744
679	11	25	0	0	32	16	64	1	6144	1024	0	3072	1024	1024	0	5120	1891	1041	9117	1246	1116	130	13295	1	8	7567	1430	120	2914.10605490786	550.7032719067319	46.212861978187284	433.10116585182396
680	14	25	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	1897	1047	18089	1812	1683	129	22845	1	16	15390	2579	120	6208.546290216677	1040.4055154300722	48.40971766250821	453.05948785292185
681	17	25	0	0	32	16	64	1	6144	1024	1024	3072	1024	0	1024	6144	1897	1048	9197	1133	910	223	13275	1	8	7803	1274	120	3611.422372881356	589.6388700564971	55.538983050847456	525.1326553672317
682	19	9	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1107	0	1594	361	30	331	3062	0	0	0	0	0	0.0	0.0	0.0	0.0
683	24	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1889	1049	9212	1613	1483	130	13763	1	8	7819	1273	120	2908.761171256267	473.5711690765095	44.64142992080215	422.79154254159704
684	26	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1917	1058	9072	1349	1130	219	13396	1	8	7589	1363	120	2900.543445804718	520.9435652433563	45.864437145416545	427.6858763810093
685	29	25	0	0	32	16	64	1	6144	1024	0	7168	1024	1024	0	9216	1922	1042	18052	1834	1705	129	22850	1	16	15292	2640	120	6167.661794310722	1064.7807439824946	48.39912472647703	452.02765864332605
686	32	25	0	0	32	16	64	1	6144	0	1024	3072	1024	1024	0	5120	1923	1052	9228	1491	1361	130	13694	1	8	7845	1263	120	2933.1386008470863	472.21848984956915	44.86636483131298	425.6696363370819
687	34	9	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1088	0	1404	359	30	329	2851	0	0	0	0	0	0.0	0.0	0.0	0.0
688	39	25	0	0	32	16	64	1	6144	1024	1024	3072	1024	1024	0	6144	1924	1043	9201	1849	1720	129	14017	1	8	7642	1439	120	3349.6788185774417	630.749518441892	52.59898694442463	497.55354212741673
689	41	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1909	1038	9350	1140	918	222	13437	1	8	7973	1257	120	3038.0114608915683	478.96405447644565	45.72449207412369	439.6219394210017
690	44	25	0	0	32	16	64	1	6144	0	1024	7168	0	0	0	8192	1900	1050	18014	1829	1700	129	22793	1	16	15282	2612	120	5492.482077830913	938.7752380116704	43.12903084280262	401.9535822401615
691	47	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1909	1037	9227	1051	922	129	13224	1	8	7871	1236	120	3047.4531155474892	478.5480943738657	46.46098003629764	440.7501512401694
692	49	9	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1118	0	1379	159	30	129	2656	0	0	0	0	0	0.0	0.0	0.0	0.0
693	54	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1892	1053	9215	1425	1296	129	13585	1	8	7868	1227	120	2965.3411851306587	462.4394552815605	45.226352594773644	428.4725800515274
694	56	25	0	0	32	16	64	1	6144	1024	0	4096	0	0	0	5120	1914	1049	9253	1260	1131	129	13476	1	8	7834	1299	120	2976.408429801128	493.53517364203026	45.59216384683882	433.7429504303948
