worker	producer_slot	consumer_slot	producer_stage	logical_task	event_index	group	fanin	model	seq	dump
4	138	139	12	4	811	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
4	148	149	25	4	1592	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
4	150	151	27	4	1660	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
5	160	161	10	5	743	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
5	162	163	12	5	811	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
5	172	173	25	5	1592	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
5	174	175	27	5	1660	2	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
6	184	185	10	6	744	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
6	186	187	12	6	812	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
6	196	197	25	6	1593	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
6	198	199	27	6	1661	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
7	208	209	10	7	744	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
7	210	211	12	7	812	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
7	220	221	25	7	1593	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
7	222	223	27	7	1661	3	2	gqa2	128	docs/experiments/SYNC_V3/c2_dependency/trace/gqa2_s128
0	0	1	0	0	60	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	8	9	8	0	83	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	9	10	9	0	91	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	10	11	10	0	93	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	12	13	12	0	99	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	13	14	13	0	103	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	14	15	14	0	105	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	15	16	15	0	107	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	23	24	23	0	130	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	24	25	24	0	138	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	25	26	25	0	140	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	27	28	27	0	146	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	28	29	28	0	150	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	29	30	29	0	152	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	30	31	30	0	154	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	38	39	38	0	177	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	39	40	39	0	185	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	40	41	40	0	187	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	42	43	42	0	193	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	43	44	43	0	197	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	44	45	44	0	199	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	45	46	45	0	201	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	53	54	53	0	224	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	54	55	54	0	232	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	55	56	55	0	234	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	57	58	57	0	240	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
0	58	59	58	0	244	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	60	61	0	1	60	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	68	69	8	1	83	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	69	70	9	1	91	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	70	71	10	1	93	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	72	73	12	1	99	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	73	74	13	1	103	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	74	75	14	1	105	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	75	76	15	1	107	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	83	84	23	1	130	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	84	85	24	1	138	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	85	86	25	1	140	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	87	88	27	1	146	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	88	89	28	1	150	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	89	90	29	1	152	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	90	91	30	1	154	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	98	99	38	1	177	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	99	100	39	1	185	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	100	101	40	1	187	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	102	103	42	1	193	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	103	104	43	1	197	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	104	105	44	1	199	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	105	106	45	1	201	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	113	114	53	1	224	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	114	115	54	1	232	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	115	116	55	1	234	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	117	118	57	1	240	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
1	118	119	58	1	244	0	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	120	121	0	2	61	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	128	129	8	2	84	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	129	130	9	2	92	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	130	131	10	2	94	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	132	133	12	2	100	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	133	134	13	2	104	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	134	135	14	2	106	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	135	136	15	2	108	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	143	144	23	2	131	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	144	145	24	2	139	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	145	146	25	2	141	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
2	147	148	27	2	147	1	2	mha4	4	docs/experiments/SYNC_V3/c2_dependency/trace/mha4_s4
