model	seq	past	producer	consumer	wait_sum	fanout_sum	count	volume	old_wait_sum	changed
gqa2	1	3	24	24	4	4	4	16384	4	0
gqa2	1	3	14	24	4	4	4	16384	4	0
gqa2	1	3	24	25	4	4	1	128	4	0
gqa2	1	3	25	26	8	8	8	512	1024	1
gqa2	1	3	25	27	8	8	8	512	1024	1
gqa2	1	3	26	28	8	8	1	128	8	0
gqa2	1	3	27	28	8	8	1	128	8	0
gqa2	1	3	28	29	4	4	4	1024	512	1
gqa2	1	3	29	29	4	4	4	16384	4	0
gqa2	1	3	24	29	4	4	4	16384	4	0
gqa2	4	3	0	1	16	16	4	512	512	1
gqa2	4	3	0	2	8	8	2	512	256	1
gqa2	4	3	0	3	8	8	2	512	256	1
gqa2	4	3	1	4	16	16	16	128	16	0
gqa2	4	3	2	5	8	8	8	128	8	0
gqa2	4	3	5	6	8	8	8	128	8	0
gqa2	4	3	3	7	8	8	8	128	8	0
gqa2	4	3	4	8	16	16	16	128	16	0
gqa2	4	3	6	8	64	64	16	128	112	1
gqa2	4	3	7	8	64	64	16	128	112	1
gqa2	4	3	8	9	64	64	4	128	2048	1
gqa2	4	3	9	9	4	4	4	16384	4	0
gqa2	4	3	9	10	16	16	4	128	16	0
gqa2	4	3	10	11	32	32	8	512	1024	1
gqa2	4	3	10	12	32	32	8	512	1024	1
gqa2	4	3	11	13	32	32	4	128	32	0
gqa2	4	3	12	13	32	32	4	128	32	0
gqa2	4	3	13	14	16	16	4	1024	512	1
gqa2	4	3	14	14	4	4	4	16384	4	0
gqa2	4	3	9	14	4	4	4	16384	4	0
gqa2	4	3	14	15	16	16	4	128	16	0
gqa2	4	3	15	16	16	16	4	512	512	1
gqa2	4	3	15	17	8	8	2	512	256	1
gqa2	4	3	15	18	8	8	2	512	256	1
gqa2	4	3	16	19	16	16	16	128	16	0
gqa2	4	3	17	20	8	8	8	128	8	0
gqa2	4	3	20	21	8	8	8	128	8	0
gqa2	4	3	18	22	8	8	8	128	8	0
gqa2	4	3	19	23	16	16	16	128	16	0
gqa2	4	3	21	23	64	64	16	128	112	1
gqa2	4	3	22	23	64	64	16	128	112	1
gqa2	4	3	23	24	64	64	4	128	2048	1
gqa2	4	3	24	24	4	4	4	16384	4	0
gqa2	4	3	14	24	4	4	4	16384	4	0
gqa2	4	3	24	25	16	16	4	128	16	0
gqa2	4	3	25	26	32	32	8	512	1024	1
gqa2	4	3	25	27	32	32	8	512	1024	1
gqa2	4	3	26	28	32	32	4	128	32	0
gqa2	4	3	27	28	32	32	4	128	32	0
gqa2	4	3	28	29	16	16	4	1024	512	1
gqa2	4	3	29	29	4	4	4	16384	4	0
gqa2	4	3	24	29	4	4	4	16384	4	0
gqa2	128	3	0	1	512	512	4	512	512	0
gqa2	128	3	0	2	256	256	2	512	256	0
gqa2	128	3	0	3	256	256	2	512	256	0
gqa2	128	3	1	4	512	512	512	128	512	0
gqa2	128	3	2	5	256	256	256	128	256	0
gqa2	128	3	5	6	256	256	256	128	256	0
gqa2	128	3	3	7	256	256	256	128	256	0
gqa2	128	3	4	8	512	512	512	128	512	0
gqa2	128	3	6	8	65536	65536	512	128	67072	1
gqa2	128	3	7	8	65536	65536	512	128	67072	1
gqa2	128	3	8	9	2048	2048	4	128	2048	0
gqa2	128	3	9	9	4	4	4	16384	4	0
gqa2	128	3	9	10	512	512	128	128	512	0
gqa2	128	3	10	11	1024	1024	8	512	1024	0
gqa2	128	3	10	12	1024	1024	8	512	1024	0
gqa2	128	3	11	13	1024	1024	128	128	1024	0
gqa2	128	3	12	13	1024	1024	128	128	1024	0
gqa2	128	3	13	14	512	512	4	1024	512	0
gqa2	128	3	14	14	4	4	4	16384	4	0
gqa2	128	3	9	14	4	4	4	16384	4	0
gqa2	128	3	14	15	512	512	128	128	512	0
gqa2	128	3	15	16	512	512	4	512	512	0
gqa2	128	3	15	17	256	256	2	512	256	0
gqa2	128	3	15	18	256	256	2	512	256	0
gqa2	128	3	16	19	512	512	512	128	512	0
gqa2	128	3	17	20	256	256	256	128	256	0
gqa2	128	3	20	21	256	256	256	128	256	0
gqa2	128	3	18	22	256	256	256	128	256	0
gqa2	128	3	19	23	512	512	512	128	512	0
gqa2	128	3	21	23	65536	65536	512	128	67072	1
gqa2	128	3	22	23	65536	65536	512	128	67072	1
gqa2	128	3	23	24	2048	2048	4	128	2048	0
gqa2	128	3	24	24	4	4	4	16384	4	0
gqa2	128	3	14	24	4	4	4	16384	4	0
gqa2	128	3	24	25	512	512	128	128	512	0
gqa2	128	3	25	26	1024	1024	8	512	1024	0
gqa2	128	3	25	27	1024	1024	8	512	1024	0
gqa2	128	3	26	28	1024	1024	128	128	1024	0
gqa2	128	3	27	28	1024	1024	128	128	1024	0
gqa2	128	3	28	29	512	512	4	1024	512	0
gqa2	128	3	29	29	4	4	4	16384	4	0
gqa2	128	3	24	29	4	4	4	16384	4	0
gqa2	512	3	0	1	2048	2048	16	512	2048	0
gqa2	512	3	0	2	1024	1024	8	512	1024	0
gqa2	512	3	0	3	1024	1024	8	512	1024	0
gqa2	512	3	1	4	2048	2048	2048	128	2048	0
gqa2	512	3	2	5	1024	1024	1024	128	1024	0
gqa2	512	3	5	6	1024	1024	1024	128	1024	0
gqa2	512	3	3	7	1024	1024	1024	128	1024	0
gqa2	512	3	4	8	2048	2048	2048	128	2048	0
gqa2	512	3	6	8	1048576	1048576	2048	128	1054720	1
gqa2	512	3	7	8	1048576	1048576	2048	128	1054720	1
gqa2	512	3	8	9	8192	8192	16	128	8192	0
gqa2	512	3	9	9	16	16	16	16384	16	0
gqa2	512	3	9	10	2048	2048	512	128	2048	0
gqa2	512	3	10	11	4096	4096	32	512	4096	0
gqa2	512	3	10	12	4096	4096	32	512	4096	0
gqa2	512	3	11	13	4096	4096	512	128	4096	0
gqa2	512	3	12	13	4096	4096	512	128	4096	0
gqa2	512	3	13	14	2048	2048	16	1024	2048	0
gqa2	512	3	14	14	16	16	16	16384	16	0
gqa2	512	3	9	14	16	16	16	16384	16	0
gqa2	512	3	14	15	2048	2048	512	128	2048	0
gqa2	512	3	15	16	2048	2048	16	512	2048	0
gqa2	512	3	15	17	1024	1024	8	512	1024	0
gqa2	512	3	15	18	1024	1024	8	512	1024	0
gqa2	512	3	16	19	2048	2048	2048	128	2048	0
gqa2	512	3	17	20	1024	1024	1024	128	1024	0
gqa2	512	3	20	21	1024	1024	1024	128	1024	0
gqa2	512	3	18	22	1024	1024	1024	128	1024	0
gqa2	512	3	19	23	2048	2048	2048	128	2048	0
gqa2	512	3	21	23	1048576	1048576	2048	128	1054720	1
gqa2	512	3	22	23	1048576	1048576	2048	128	1054720	1
gqa2	512	3	23	24	8192	8192	16	128	8192	0
gqa2	512	3	24	24	16	16	16	16384	16	0
gqa2	512	3	14	24	16	16	16	16384	16	0
gqa2	512	3	24	25	2048	2048	512	128	2048	0
gqa2	512	3	25	26	4096	4096	32	512	4096	0
gqa2	512	3	25	27	4096	4096	32	512	4096	0
gqa2	512	3	26	28	4096	4096	512	128	4096	0
gqa2	512	3	27	28	4096	4096	512	128	4096	0
gqa2	512	3	28	29	2048	2048	16	1024	2048	0
gqa2	512	3	29	29	16	16	16	16384	16	0
gqa2	512	3	24	29	16	16	16	16384	16	0
gqa2	2048	3	0	1	8192	8192	64	512	8192	0
gqa2	2048	3	0	2	4096	4096	32	512	4096	0
gqa2	2048	3	0	3	4096	4096	32	512	4096	0
gqa2	2048	3	1	4	8192	8192	8192	128	8192	0
gqa2	2048	3	2	5	4096	4096	4096	128	4096	0
gqa2	2048	3	5	6	4096	4096	4096	128	4096	0
gqa2	2048	3	3	7	4096	4096	4096	128	4096	0
gqa2	2048	3	4	8	8192	8192	8192	128	8192	0
gqa2	2048	3	6	8	16777216	16777216	8192	128	16801792	1
gqa2	2048	3	7	8	16777216	16777216	8192	128	16801792	1
gqa2	2048	3	8	9	32768	32768	64	128	32768	0
gqa2	2048	3	9	9	64	64	64	16384	64	0
gqa2	2048	3	9	10	8192	8192	2048	128	8192	0
gqa2	2048	3	10	11	16384	16384	128	512	16384	0
gqa2	2048	3	10	12	16384	16384	128	512	16384	0
gqa2	2048	3	11	13	16384	16384	2048	128	16384	0
gqa2	2048	3	12	13	16384	16384	2048	128	16384	0
gqa2	2048	3	13	14	8192	8192	64	1024	8192	0
gqa2	2048	3	14	14	64	64	64	16384	64	0
gqa2	2048	3	9	14	64	64	64	16384	64	0
gqa2	2048	3	14	15	8192	8192	2048	128	8192	0
gqa2	2048	3	15	16	8192	8192	64	512	8192	0
gqa2	2048	3	15	17	4096	4096	32	512	4096	0
gqa2	2048	3	15	18	4096	4096	32	512	4096	0
gqa2	2048	3	16	19	8192	8192	8192	128	8192	0
gqa2	2048	3	17	20	4096	4096	4096	128	4096	0
gqa2	2048	3	20	21	4096	4096	4096	128	4096	0
gqa2	2048	3	18	22	4096	4096	4096	128	4096	0
gqa2	2048	3	19	23	8192	8192	8192	128	8192	0
gqa2	2048	3	21	23	16777216	16777216	8192	128	16801792	1
gqa2	2048	3	22	23	16777216	16777216	8192	128	16801792	1
gqa2	2048	3	23	24	32768	32768	64	128	32768	0
gqa2	2048	3	24	24	64	64	64	16384	64	0
gqa2	2048	3	14	24	64	64	64	16384	64	0
gqa2	2048	3	24	25	8192	8192	2048	128	8192	0
gqa2	2048	3	25	26	16384	16384	128	512	16384	0
gqa2	2048	3	25	27	16384	16384	128	512	16384	0
gqa2	2048	3	26	28	16384	16384	2048	128	16384	0
gqa2	2048	3	27	28	16384	16384	2048	128	16384	0
gqa2	2048	3	28	29	8192	8192	64	1024	8192	0
gqa2	2048	3	29	29	64	64	64	16384	64	0
gqa2	2048	3	24	29	64	64	64	16384	64	0
gqa2	1	512	0	1	4	4	4	512	512	1
gqa2	1	512	0	2	2	2	2	512	256	1
gqa2	1	512	0	3	2	2	2	512	256	1
gqa2	1	512	1	4	4	4	4	128	4	0
gqa2	1	512	2	5	2	2	2	128	2	0
gqa2	1	512	5	6	2	2	2	128	2	0
gqa2	1	512	3	7	2	2	2	128	2	0
gqa2	1	512	4	8	4	4	4	128	4	0
gqa2	1	512	6	8	4	4	4	128	2052	1
gqa2	1	512	7	8	4	4	4	128	2052	1
gqa2	1	512	8	9	16	16	4	128	2048	1
gqa2	1	512	9	9	4	4	4	16384	4	0
gqa2	1	512	9	10	4	4	1	128	4	0
gqa2	1	512	10	11	8	8	8	512	1024	1
gqa2	1	512	10	12	8	8	8	512	1024	1
gqa2	1	512	11	13	8	8	1	128	8	0
gqa2	1	512	12	13	8	8	1	128	8	0
gqa2	1	512	13	14	4	4	4	1024	512	1
gqa2	1	512	14	14	4	4	4	16384	4	0
gqa2	1	512	9	14	4	4	4	16384	4	0
gqa2	1	512	14	15	4	4	1	128	4	0
gqa2	1	512	15	16	4	4	4	512	512	1
gqa2	1	512	15	17	2	2	2	512	256	1
gqa2	1	512	15	18	2	2	2	512	256	1
gqa2	1	512	16	19	4	4	4	128	4	0
gqa2	1	512	17	20	2	2	2	128	2	0
gqa2	1	512	20	21	2	2	2	128	2	0
gqa2	1	512	18	22	2	2	2	128	2	0
gqa2	1	512	19	23	4	4	4	128	4	0
gqa2	1	512	21	23	4	4	4	128	2052	1
gqa2	1	512	22	23	4	4	4	128	2052	1
gqa2	1	512	23	24	16	16	4	128	2048	1
gqa2	1	512	24	24	4	4	4	16384	4	0
gqa2	1	512	14	24	4	4	4	16384	4	0
gqa2	1	512	24	25	4	4	1	128	4	0
gqa2	1	512	25	26	8	8	8	512	1024	1
gqa2	1	512	25	27	8	8	8	512	1024	1
gqa2	1	512	26	28	8	8	1	128	8	0
gqa2	1	512	27	28	8	8	1	128	8	0
gqa2	1	512	28	29	4	4	4	1024	512	1
gqa2	1	512	29	29	4	4	4	16384	4	0
gqa2	1	512	24	29	4	4	4	16384	4	0
gqa2	4	512	0	1	16	16	4	512	512	1
gqa2	4	512	0	2	8	8	2	512	256	1
gqa2	4	512	0	3	8	8	2	512	256	1
gqa2	4	512	1	4	16	16	16	128	16	0
gqa2	4	512	2	5	8	8	8	128	8	0
gqa2	4	512	5	6	8	8	8	128	8	0
gqa2	4	512	3	7	8	8	8	128	8	0
gqa2	4	512	4	8	16	16	16	128	16	0
gqa2	4	512	6	8	64	64	16	128	8256	1
gqa2	4	512	7	8	64	64	16	128	8256	1
gqa2	4	512	8	9	64	64	4	128	2048	1
gqa2	4	512	9	9	4	4	4	16384	4	0
gqa2	4	512	9	10	16	16	4	128	16	0
gqa2	4	512	10	11	32	32	8	512	1024	1
gqa2	4	512	10	12	32	32	8	512	1024	1
gqa2	4	512	11	13	32	32	4	128	32	0
gqa2	4	512	12	13	32	32	4	128	32	0
gqa2	4	512	13	14	16	16	4	1024	512	1
gqa2	4	512	14	14	4	4	4	16384	4	0
gqa2	4	512	9	14	4	4	4	16384	4	0
gqa2	4	512	14	15	16	16	4	128	16	0
gqa2	4	512	15	16	16	16	4	512	512	1
gqa2	4	512	15	17	8	8	2	512	256	1
gqa2	4	512	15	18	8	8	2	512	256	1
gqa2	4	512	16	19	16	16	16	128	16	0
gqa2	4	512	17	20	8	8	8	128	8	0
gqa2	4	512	20	21	8	8	8	128	8	0
gqa2	4	512	18	22	8	8	8	128	8	0
