rank	key	flow_ns	residency	kappa	error
125	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k8;64x128x16s2k32;kappa=1;residency=3	4564743.9501471948	3	1	
126	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;64x128x16s2k32;64x128x16s2k32;kappa=1;residency=3	4580475.5281682648	3	1	
127	32x16x32s2k2;32x16x32s2k4;32x16x32s2k32;32x16x32s2k1;32x16x32s2k2;32x16x32s2k1;kappa=1;residency=4	4585839.509925303	4	1	
128	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=2;residency=3	4605147.5171553176	3	2	
129	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=4;residency=3	4605147.5171553176	3	4	
130	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=2;residency=5	4631066.1013059886	5	2	
131	32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;32x16x32s2k2;kappa=4;residency=5	4631066.1013059886	5	4	
132	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k4;32x16x32s2k16;kappa=1;residency=4	4652662.1350203836	4	1	
133	32x16x32s2k8;32x16x32s2k4;32x16x32s2k4;32x16x32s2k2;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=3	4669056.2650172561	3	1	
134	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k8;32x16x32s2k4;32x16x32s2k1;kappa=1;residency=4	4678398.8716594717	4	1	
135	32x16x32s2k2;32x16x32s2k4;32x16x32s2k4;32x16x32s2k1;32x16x32s2k1;32x16x32s2k1;kappa=1;residency=4	4679953.0903609237	4	1	
136	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k2;32x16x32s2k8;kappa=1;residency=3	4681113.4795541847	3	1	
137	32x16x32s2k1;32x16x32s2k2;32x16x32s2k2;32x16x32s2k1;32x16x32s2k4;64x128x16s2k32;kappa=1;residency=3	4683429.6737169428	3	1	
138	32x16x32s2k8;32x16x32s2k4;32x16x32s2k32;32x16x32s2k4;32x16x32s2k4;32x16x32s2k4;kappa=1;residency=6	4697773.4762732033	6	1	
