config	smem	ctas_per_sm	l1_registers
128x128x8s4k16	33024	1	168
128x128x8s5k1	41280	1	168
128x128x8s5k2	41280	1	168
128x128x8s5k4	41280	1	168
128x128x8s5k8	41280	1	168
128x128x8s5k16	41280	1	168
128x128x16s2k1	33024	1	168
128x128x16s2k2	33024	1	168
128x128x16s2k4	33024	1	168
128x128x16s2k8	33024	1	168
128x128x16s2k16	33024	1	168
128x128x16s3k1	49536	1	168
128x128x16s3k2	49536	1	168
128x128x16s3k4	49536	1	168
128x128x16s3k8	49536	1	168
128x128x16s3k16	49536	1	168
128x128x16s4k1	66048	1	168
128x128x16s4k2	66048	1	168
128x128x16s4k4	66048	1	168
128x128x16s4k8	66048	1	168
128x128x16s4k16	66048	1	168
128x128x16s5k1	82560	1	168
128x128x16s5k2	82560	1	168
128x128x16s5k4	82560	1	168
128x128x16s5k8	82560	1	168
128x128x16s5k16	82560	1	168
128x128x32s2k1	66048	1	112
128x128x32s2k2	66048	1	112
128x128x32s2k4	66048	1	112
128x128x32s2k8	66048	1	112
128x128x32s2k16	66048	1	112
128x128x32s3k1	99072	1	112
128x128x32s3k2	99072	1	112
128x128x32s3k4	99072	1	112
128x128x32s3k8	99072	1	112
128x128x32s3k16	99072	1	112
128x256x8s2k1	24704	1	255
128x256x8s2k2	24704	1	255
128x256x8s2k4	24704	1	255
128x256x8s2k8	24704	1	255
128x256x8s2k16	24704	1	255
128x256x8s3k1	37056	1	255
128x256x8s3k2	37056	1	255
128x256x8s3k4	37056	1	255
128x256x8s3k8	37056	1	255
128x256x8s3k16	37056	1	255
128x256x8s4k1	49408	1	255
128x256x8s4k2	49408	1	255
128x256x8s4k4	49408	1	255
128x256x8s4k8	49408	1	255
128x256x8s4k16	49408	1	255
128x256x8s5k1	61760	1	255
128x256x8s5k2	61760	1	255
128x256x8s5k4	61760	1	255
128x256x8s5k8	61760	1	255
128x256x8s5k16	61760	1	255
128x256x16s2k1	49408	1	251
128x256x16s2k2	49408	1	251
128x256x16s2k4	49408	1	251
128x256x16s2k8	49408	1	251
128x256x16s2k16	49408	1	251
128x256x16s3k1	74112	1	255
128x256x16s3k2	74112	1	255
128x256x16s3k4	74112	1	255
128x256x16s3k8	74112	1	255
128x256x16s3k16	74112	1	255
128x256x16s4k1	98816	1	255
128x256x16s4k2	98816	1	255
128x256x16s4k4	98816	1	255
128x256x16s4k8	98816	1	255
128x256x16s4k16	98816	1	255
128x256x32s2k1	98816	1	164
128x256x32s2k2	98816	1	164
128x256x32s2k4	98816	1	164
128x256x32s2k8	98816	1	164
128x256x32s2k16	98816	1	164
256x16x16s2k1	35072	2	116
256x16x16s2k2	35072	2	116
256x16x16s2k4	35072	2	116
256x16x16s2k8	35072	2	116
256x16x16s2k16	35072	2	116
256x16x16s3k1	52608	1	114
256x16x16s3k2	52608	1	114
256x16x16s3k4	52608	1	114
256x16x16s3k8	52608	1	114
256x16x16s3k16	52608	1	114
256x16x16s4k1	70144	1	128
256x16x16s4k2	70144	1	128
256x16x16s4k4	70144	1	128
256x16x16s4k8	70144	1	128
256x16x16s4k16	70144	1	128
256x16x16s5k1	87680	1	128
256x16x16s5k2	87680	1	128
256x16x16s5k4	87680	1	128
256x16x16s5k8	87680	1	128
256x16x16s5k16	87680	1	128
256x16x32s2k1	70144	1	238
256x16x32s2k2	70144	1	238
256x16x32s2k4	70144	1	238
256x16x32s2k8	70144	1	238
256x16x32s2k16	70144	1	238
256x32x8s2k1	18560	2	122
256x32x8s2k2	18560	2	122
256x32x8s2k4	18560	2	122
256x32x8s2k8	18560	2	122
256x32x8s2k16	18560	2	122
256x32x8s3k1	27840	2	122
256x32x8s3k2	27840	2	122
256x32x8s3k4	27840	2	122
256x32x8s3k8	27840	2	122
256x32x8s3k16	27840	2	122
256x32x8s4k1	37120	2	122
256x32x8s4k2	37120	2	122
256x32x8s4k4	37120	2	122
256x32x8s4k8	37120	2	122
256x32x8s4k16	37120	2	122
256x32x8s5k1	46400	2	122
256x32x8s5k2	46400	2	122
256x32x8s5k4	46400	2	122
256x32x8s5k8	46400	2	122
256x32x8s5k16	46400	2	122
256x32x16s2k1	37120	1	134
256x32x16s2k2	37120	1	134
256x32x16s2k4	37120	1	134
256x32x16s2k8	37120	1	134
256x32x16s2k16	37120	1	134
256x32x16s3k1	55680	1	128
256x32x16s3k2	55680	1	128
256x32x16s3k4	55680	1	128
256x32x16s3k8	55680	1	128
256x32x16s3k16	55680	1	128
256x32x16s4k1	74240	1	128
256x32x16s4k2	74240	1	128
256x32x16s4k4	74240	1	128
256x32x16s4k8	74240	1	128
256x32x16s4k16	74240	1	128
256x32x16s5k1	92800	1	128
256x32x16s5k2	92800	1	128
256x32x16s5k4	92800	1	128
256x32x16s5k8	92800	1	128
256x32x16s5k16	92800	1	128
256x32x32s2k1	74240	1	240
256x32x32s2k2	74240	1	240
256x32x32s2k4	74240	1	240
256x32x32s2k8	74240	1	240
256x32x32s2k16	74240	1	240
256x64x8s2k1	20608	1	168
256x64x8s2k2	20608	1	168
256x64x8s2k4	20608	1	168
256x64x8s2k8	20608	1	168
256x64x8s2k16	20608	1	168
256x64x8s3k1	30912	1	168
256x64x8s3k2	30912	1	168
256x64x8s3k4	30912	1	168
256x64x8s3k8	30912	1	168
256x64x8s3k16	30912	1	168
256x64x8s4k1	41216	1	168
256x64x8s4k2	41216	1	168
256x64x8s4k4	41216	1	168
256x64x8s4k8	41216	1	168
256x64x8s4k16	41216	1	168
256x64x8s5k1	51520	1	168
256x64x8s5k2	51520	1	168
256x64x8s5k4	51520	1	168
256x64x8s5k8	51520	1	168
256x64x8s5k16	51520	1	168
256x64x16s2k1	41216	1	168
256x64x16s2k2	41216	1	168
256x64x16s2k4	41216	1	168
256x64x16s2k8	41216	1	168
256x64x16s2k16	41216	1	168
256x64x16s3k1	61824	1	168
256x64x16s3k2	61824	1	168
256x64x16s3k4	61824	1	168
256x64x16s3k8	61824	1	168
256x64x16s3k16	61824	1	168
256x64x16s4k1	82432	1	168
256x64x16s4k2	82432	1	168
256x64x16s4k4	82432	1	168
256x64x16s4k8	82432	1	168
256x64x16s4k16	82432	1	168
256x64x32s2k1	82432	1	124
256x64x32s2k2	82432	1	124
256x64x32s2k4	82432	1	124
256x64x32s2k8	82432	1	124
256x64x32s2k16	82432	1	124
256x128x8s2k1	24704	1	226
256x128x8s2k2	24704	1	226
256x128x8s2k4	24704	1	226
256x128x8s2k8	24704	1	226
256x128x8s2k16	24704	1	226
256x128x8s3k1	37056	1	227
256x128x8s3k2	37056	1	227
256x128x8s3k4	37056	1	227
256x128x8s3k8	37056	1	227
256x128x8s3k16	37056	1	227
256x128x8s4k1	49408	1	227
256x128x8s4k2	49408	1	227
256x128x8s4k4	49408	1	227
256x128x8s4k8	49408	1	227
256x128x8s4k16	49408	1	227
256x128x8s5k1	61760	1	227
256x128x8s5k2	61760	1	227
256x128x8s5k4	61760	1	227
256x128x8s5k8	61760	1	227
256x128x8s5k16	61760	1	227
256x128x16s2k1	49408	1	239
256x128x16s2k2	49408	1	239
256x128x16s2k4	49408	1	239
256x128x16s2k8	49408	1	239
256x128x16s2k16	49408	1	239
256x128x16s3k1	74112	1	245
256x128x16s3k2	74112	1	245
256x128x16s3k4	74112	1	245
256x128x16s3k8	74112	1	245
256x128x16s3k16	74112	1	245
256x128x16s4k1	98816	1	245
256x128x16s4k2	98816	1	245
256x128x16s4k4	98816	1	245
256x128x16s4k8	98816	1	245
256x128x16s4k16	98816	1	245
256x128x32s2k1	98816	1	168
256x128x32s2k2	98816	1	168
256x128x32s2k4	98816	1	168
256x128x32s2k8	98816	1	168
256x128x32s2k16	98816	1	168
256x256x8s2k1	32896	1	255
256x256x8s2k2	32896	1	255
256x256x8s2k4	32896	1	255
256x256x8s2k8	32896	1	255
256x256x8s2k16	32896	1	255
256x256x8s3k1	49344	1	255
256x256x8s3k2	49344	1	255
256x256x8s3k4	49344	1	255
256x256x8s3k8	49344	1	255
256x256x8s3k16	49344	1	255
256x256x8s4k1	65792	1	255
256x256x8s4k2	65792	1	255
256x256x8s4k4	65792	1	255
256x256x8s4k8	65792	1	255
256x256x8s4k16	65792	1	255
256x256x8s5k1	82240	1	255
256x256x8s5k2	82240	1	255
256x256x8s5k4	82240	1	255
256x256x8s5k8	82240	1	255
256x256x8s5k16	82240	1	255
256x256x16s2k1	65792	1	182
256x256x16s2k2	65792	1	182
256x256x16s2k4	65792	1	182
256x256x16s2k8	65792	1	182
256x256x16s2k16	65792	1	182
256x256x16s3k1	98688	1	162
256x256x16s3k2	98688	1	162
256x256x16s3k4	98688	1	162
256x256x16s3k8	98688	1	162
256x256x16s3k16	98688	1	162
