slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
94	5	0	0	0	1	0	1789794413215298560	1095107185481	1789794413215299584	1095107187495	1789794413215299584	1095107187495	1789794413215325184	1095107252217	1789794413215325184	1095107252249	1789794413215325184	1095107252395	0	0	0	0	53	2
95	0	32	16	32	1	3072	1789794413215330304	1095107265677	1789794413215331328	1095107269137	1789794413215332352	1095107270195	1789794413215340544	1095107292586	1789794413215342592	1095107295556	1789794413215342592	1095107295686	1095107270457	1095107292464	8149	16	0	0
96	1	0	0	0	1	0	1789794413215345664	1095107305183	1789794413215346688	1095107305881	1789794413215346688	1095107305881	1789794413215347712	1095107308999	1789794413215347712	1095107310765	1789794413215348736	1095107310902	0	0	0	0	89	8
97	0	32	16	32	1	3072	1789794413215350784	1095107317994	1789794413215351808	1095107320332	1789794413215352832	1095107321210	1789794413215360000	1095107340268	1789794413215361024	1095107341913	1789794413215361024	1095107342253	1095107321807	1095107340147	5908	16	0	0
98	4	0	0	0	1	0	1789794413215368192	1095107361757	1789794413215369216	1095107363054	1789794413215369216	1095107363054	1789794413215371264	1095107369521	1789794413215371264	1095107369551	1789794413215371264	1095107369685	0	0	0	0	0	0
99	0	32	16	32	1	3072	1789794413215373312	1095107374672	1789794413215374336	1095107376887	1789794413215375360	1095107377927	1789794413215388672	1095107413046	1789794413215389696	1095107414987	1789794413215389696	1095107415122	1095107378165	1095107412769	12614	32	0	0
100	1	0	0	0	1	0	1789794413215142912	1095106794901	1789794413215143936	1095106796107	1789794413215143936	1095106796107	1789794413215144960	1095106799675	1789794413215145984	1095106800963	1789794413215145984	1095106801104	0	0	0	0	99	8
101	0	32	16	32	1	3072	1789794413215148032	1095106806476	1789794413215149056	1095106808894	1789794413215149056	1095106810113	1789794413215157248	1095106829602	1789794413215158272	1095106831549	1789794413215158272	1095106831759	1095106810207	1095106829451	5651	16	0	0
102	2	0	0	0	1	0	1789794413215160320	1095106838110	1789794413215161344	1095106839241	1789794413215161344	1095106839241	1789794413215161344	1095106840714	1789794413215161344	1095106840753	1789794413215161344	1095106841137	0	0	0	0	0	0
103	3	0	0	0	1	0	1789794413215162368	1095106844287	1789794413215163392	1095106845655	1789794413215163392	1095106845655	1789794413215163392	1095106846847	1789794413215164416	1095106846897	1789794413215164416	1095106847189	0	0	0	0	0	0
