candidate	work_lb_ns	cp_lb_ns	queue_lb_lb_ns	priority_ns
64x128x16s2split2kappa4	353003.13920642232	6623154.4837146783	100417.97017017455	6623154.4837146783
64x128x16s2split4kappa1	390164.25161056989	4042344.4527382152	81950.121268759482	4042344.4527382152
64x128x16s2split4kappa2	390164.25161056989	4042344.4527382152	81950.121268759482	4042344.4527382152
64x128x16s2split4kappa4	390164.25161056989	4042344.4527382152	81950.121268759482	4042344.4527382152
64x128x16s2split8kappa1	464486.47641942534	2933197.6913315877	87461.40432323984	2933197.6913315877
64x128x16s2split8kappa2	464486.47641942534	2933197.6913315877	87461.40432323984	2933197.6913315877
64x128x16s2split8kappa4	464486.47641942534	2933197.6913315877	87461.40432323984	2933197.6913315877
64x128x16s2split16kappa1	613130.92603683623	2741140.818791511	110473.53641014823	2741140.818791511
64x128x16s2split16kappa2	613130.92603683623	2741140.818791511	110473.53641014823	2741140.818791511
64x128x16s2split16kappa4	613130.92603683623	2741140.818791511	110473.53641014823	2741140.818791511
64x128x16s2split32kappa1	910419.82527016895	3370145.3988479213	162492.58357293886	3370145.3988479213
64x128x16s2split32kappa2	910419.82527016895	3370145.3988479213	162492.58357293886	3370145.3988479213
64x128x16s2split32kappa4	910419.82527016895	3370145.3988479213	162492.58357293886	3370145.3988479213
128x128x16s3split1kappa1	453265.4572009822	16632654.586351285	280413.4716437672	16632654.586351285
128x128x16s3split1kappa2	453265.4572009822	16632654.586351285	280413.4716437672	16632654.586351285
128x128x16s3split1kappa4	453265.4572009822	16632654.586351285	280413.4716437672	16632654.586351285
128x128x16s3split2kappa1	487666.26383715338	9203832.8574629128	143709.64137203427	9203832.8574629128
128x128x16s3split2kappa2	487666.26383715338	9203832.8574629128	143709.64137203427	9203832.8574629128
128x128x16s3split2kappa4	487666.26383715338	9203832.8574629128	143709.64137203427	9203832.8574629128
128x128x16s3split4kappa1	543306.87849021924	5474180.4741968391	119159.13124902731	5474180.4741968391
128x128x16s3split4kappa2	543306.87849021924	5474180.4741968391	119159.13124902731	5474180.4741968391
128x128x16s3split4kappa4	543306.87849021924	5474180.4741968391	119159.13124902731	5474180.4741968391
128x128x16s3split8kappa1	654588.1077975682	3790612.5366454339	128784.57869395358	3790612.5366454339
128x128x16s3split8kappa2	654588.1077975682	3790612.5366454339	128784.57869395358	3790612.5366454339
128x128x16s3split8kappa4	654588.1077975682	3790612.5366454339	128784.57869395358	3790612.5366454339
128x128x16s3split16kappa1	877150.56640940858	3311345.0760329654	165123.45236777276	3311345.0760329654
128x128x16s3split16kappa2	877150.56640940858	3311345.0760329654	165123.45236777276	3311345.0760329654
128x128x16s3split16kappa4	877150.56640940858	3311345.0760329654	165123.45236777276	3311345.0760329654
128x128x16s3split32kappa1	1322275.4836340614	3796744.3620531806	246345.1891073944	3796744.3620531806
128x128x16s3split32kappa2	1322275.4836340614	3796744.3620531806	246345.1891073944	3796744.3620531806
128x128x16s3split32kappa4	1322275.4836340614	3796744.3620531806	246345.1891073944	3796744.3620531806
