cell	config	selected	l2_ms	l2_ms_lo	l2_ms_hi	wait_ms	wait_ms_lo	wait_ms_hi	notify_ms	notify_ms_lo	notify_ms_hi	barrier_ms	barrier_ms_lo	barrier_ms_hi	fence_ms	fence_ms_lo	fence_ms_hi	protocol_ms	protocol_ms_lo	protocol_ms_hi	protocol_barrier	protocol_barrier_lo	protocol_barrier_hi	l2_l1	l2_l1_lo	l2_l1_hi	relative_selected	relative_selected_lo	relative_selected_hi	relative_legacy	relative_legacy_lo	relative_legacy_hi	nonpositive_barrier_pairs	zero_barrier_pairs	cp_ns	queue_lb_ns	floor_ns	measured_floor	trace
mha4_s4	eft	eft	0.3072	0.306176	0.307968	0.11161599999999997	0.11136000000000001	0.112928	0.05184	0.051199999999999996	0.052288	0.142432	0.141536	0.14336	0.05324799999999996	0.05222399999999999	0.05427199999999999	0.16409599999999996	0.16281600000000002	0.164992	1.1497659906396258	1.1369832402234634	1.1538633818589024	0.7266671712966466	0.7258382642998028	0.7289790357980777	1.0	1.0	1.0	0.7525	0.749725748315311	0.7556675062972291	0	0	180224	156672.0	180224	1.7045454545454546	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/eft__full/dump
mha4_s4	wavefront	eft	0.311296	0.30496	0.313344	0.11673599999999998	0.108352	0.11788800000000002	0.051199999999999996	0.049344	0.052064	0.14140800000000003	0.14028799999999997	0.14336	0.052256000000000025	0.04710399999999998	0.05420799999999998	0.167904	0.161664	0.16992000000000002	1.1855508189365043	1.1706358949177509	1.1912253489918014	0.7391535597598966	0.7340425531914894	0.741923223109084	1.0158730158730158	1.0099667774086378	1.02	0.765	0.7615914786967418	0.7669172932330828	0	0	180224	157696.0	180224	1.7272727272727273	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/wavefront__full/dump
mha4_s4	rotate	eft	0.29056	0.289792	0.290816	0.205824	0.20556799999999997	0.206048	0.0064639999999999975	0.0061440000000000106	0.0071360000000000035	0.1416	0.140544	0.164864	0.04403199999999999	0.042976000000000014	0.045568	0.2128	0.21094399999999996	0.213216	1.485382727069851	1.3338509316770186	1.5	0.690617396593674	0.6893203883495146	0.691803778184034	0.9466666666666668	0.9428986710963455	0.9496260905691734	0.711779448621554	0.7110552763819095	0.7135678391959799	0	0	177152	70656.0	177152	1.6401734104046244	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/rotate__full/dump
mha4_s4	chain	eft	0.285696	0.283648	0.311296	0.210208	0.20652800000000002	0.22937600000000002	0.009216000000000002	0.008992	0.010240000000000013	0.13039999999999996	0.11593599999999998	0.141312	0.04505600000000001	0.022432000000000007	0.04915200000000003	0.21913600000000003	0.21788800000000003	0.238592	1.6904761904761911	1.6831481061465186	1.87248136903119	0.737864077669903	0.7363961119880369	0.7384987893462469	1.0108063175394846	0.9338912133891213	1.0133333333333334	0.761904761904762	0.6977329974811083	0.7638190954773869	0	0	172032	66560.0	172032	1.6607142857142858	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/chain__full/dump
mha4_s4	legacy_grid_stride	eft	0.407552	0.406528	0.408576	0.11657599999999996	0.11552000000000001	0.11702400000000002	0.078848	0.07782399999999998	0.07987200000000003	0.141312	0.140384	0.14217600000000002	0.06758400000000003	0.06665599999999999	0.068608	0.19558400000000004	0.19456000000000004	0.196608	1.3887884267631103	1.3802463503649633	1.3967378819205145	0.9683698296836983	0.9664673378245401	0.9685230024213075	1.3289036544850499	1.3233333333333335	1.3338210702341138	1.0	1.0	1.0	0	0	183296	245760.0	245760.0	1.6583333333333334	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/legacy_grid_stride__full/dump
mha4_s4	balanced	eft	3.113824	2.989248	3.114848	2.6777599999999997	2.552928	2.714144	0.06246400000000002	0.06115200000000004	0.06563199999999997	0.14211200000000002	0.130112	0.14336000000000004	0.6041599999999998	0.5897600000000001	0.636768	2.744448	2.61856	2.776128	19.404559678140366	18.985054347826086	19.577572618779552	7.411192214111922	7.399026763990267	7.419131097560975	10.120481927710843	10.095653076045233	10.15	7.627252781695658	7.602109375	7.644018537428325	0	0	156672	299008.0	299008.0	10.41384845890411	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/balanced__full/dump
mha4_s4	protocol_off	eft	0.321536	0.308224	0.33584	0.08585599999999999	0.08294400000000002	0.09110400000000002	0.08601600000000001	0.07958399999999999	0.09216000000000002	0.14233600000000002	0.13107199999999997	0.17407999999999996	0.03183999999999998	0.029696	0.03478400000000004	0.168864	0.16384	0.183456	1.1645030857629284	1.0526889534883725	1.2500000000000004	0.7639902676399026	0.7448504514672687	0.7730467803183323	1.08	1.0333333333333334	1.0984541964934122	0.8140703517587939	0.7769423558897243	0.8241991206030149	0	0	199680	177152.0	199680	1.6102564102564103	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/protocol_off__full/dump
mha4_s4	c1	eft	0.3072	0.306176	0.308032	0.11254399999999998	0.11161599999999997	0.11283199999999999	0.05120000000000002	0.05075199999999999	0.052096	0.14233599999999996	0.140384	0.14336	0.053279999999999994	0.05119999999999997	0.054239999999999955	0.16383999999999999	0.16284799999999997	0.16473600000000002	1.1524003623188404	1.144727612812719	1.160583941605839	0.728486872059493	0.7264254385964912	0.72992700729927	1.0	0.9966777408637872	1.0059375000000002	0.7539160401002506	0.7510207286432161	0.7556675062972291	0	0	198656	175104.0	198656	1.5463917525773196	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/c1__full/dump
mha4_s4	c2	eft	0.308224	0.3072	0.309248	0.11366400000000002	0.11263999999999999	0.11468800000000001	0.051136000000000015	0.04931200000000002	0.05120000000000002	0.14336	0.1416	0.144384	0.05529600000000001	0.05427199999999999	0.05830399999999997	0.164864	0.163904	0.165664	1.1439732142857146	1.1418439716312057	1.1623508218869623	0.7289790357980777	0.7281140949780004	0.7305825242718447	1.0033444816053512	1.0026041666666667	1.006711409395973	0.7568922305764412	0.7543859649122807	0.7581863979848866	0	0	199680	164864.0	199680	1.5435897435897437	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/c2__full/dump
mha4_s4	c3	eft	0.3072	0.30704	0.308224	0.11174400000000001	0.11145599999999997	0.11267199999999997	0.05212800000000001	0.051136000000000015	0.05222400000000002	0.14233600000000002	0.14144	0.14323200000000003	0.053983999999999976	0.05222399999999999	0.05436799999999997	0.16400000000000003	0.16368	0.164896	1.1510791366906477	1.1424107142857145	1.1592399909522737	0.7285584631674482	0.7275553533515317	0.7300296420156571	1.000521104742053	0.9994791666666667	1.0036764705882353	0.7537688442211055	0.7522331922896097	0.7560610831234258	0	0	179200	147456.0	179200	1.7142857142857142	/root/TileMega/docs/experiments/REBASE/raw/mha4_s4/trace/c3__full/dump
