slot	kind	tile_m	tile_n	tile_k	split_k	operand_bytes	run_begin_ns	run_begin_cycles	setup_end_ns	setup_end_cycles	first_operand_ready_ns	first_operand_ready_cycles	mainloop_end_ns	mainloop_end_cycles	epilogue_end_ns	epilogue_end_cycles	run_end_ns	run_end_cycles	loop_begin_cycles	loop_end_cycles	operand_wait_cycles	k_iterations	simt_wait_cycles	simt_barriers
61	0	32	16	64	1	6144	1789794416969945088	1098695870091	1789794416969946112	1098695872253	1789794416969946112	1098695873267	1789794416969950208	1098695882673	1789794416969950208	1098695883881	1789794416969950208	1098695884012	1098695873397	1098695882579	2017	8	0	0
62	2	0	0	0	1	0	1789794416969952256	1098695889326	1789794416969953280	1098695890589	1789794416969953280	1098695890589	1789794416969953280	1098695892124	1789794416969953280	1098695892154	1789794416969953280	1098695892283	0	0	0	0	0	0
63	3	0	0	0	1	0	1789794416969955328	1098695895935	1789794416969955328	1098695897056	1789794416969955328	1098695897056	1789794416969956352	1098695897988	1789794416969956352	1098695898018	1789794416969956352	1098695898148	0	0	0	0	0	0
64	5	0	0	0	1	0	1789794416969957376	1098695903126	1789794416969958400	1098695904805	1789794416969958400	1098695904805	1789794416969961472	1098695912966	1789794416969961472	1098695912996	1789794416969961472	1098695913126	0	0	0	0	52	2
65	0	32	16	64	1	6144	1789794416969963520	1098695918368	1789794416969964544	1098695920538	1789794416969965568	1098695921557	1789794416969968640	1098695930914	1789794416969969664	1098695932318	1789794416969969664	1098695932447	1098695921679	1098695930820	1552	8	0	0
66	1	0	0	0	1	0	1789794416969971712	1098695937557	1789794416969971712	1098695938825	1789794416969971712	1098695938825	1789794416969972736	1098695941754	1789794416969973760	1098695943493	1789794416969973760	1098695943624	0	0	0	0	89	8
67	0	32	16	64	1	6144	1789794416969975808	1098695948268	1789794416969976832	1098695950444	1789794416969976832	1098695951617	1789794416969981952	1098695962456	1789794416969981952	1098695964148	1789794416969981952	1098695964278	1098695951750	1098695962362	2968	8	0	0
68	4	0	0	0	1	0	1789794416969984000	1098695969290	1789794416969985024	1098695970626	1789794416969985024	1098695970626	1789794416969987072	1098695976973	1789794416969987072	1098695977003	1789794416969987072	1098695977132	0	0	0	0	0	0
69	0	32	16	64	1	6144	1789794416969989120	1098695982058	1789794416969990144	1098695984208	1789794416969990144	1098695985235	1789794416969997312	1098696003582	1789794416969998336	1098696005195	1789794416969998336	1098696005324	1098695985346	1098696003488	3110	16	0	0
70	1	0	0	0	1	0	1789794416970000384	1098696010673	1789794416970001408	1098696011951	1789794416970001408	1098696011951	1789794416970002432	1098696014813	1789794416970002432	1098696016581	1789794416970003456	1098696016712	0	0	0	0	89	8
