stage	name	category	tasks	first_start	last_end	wait_sum	fixed_sum	mainloop_sum	publication_sum
85	serving.s85	gemm	64	2070765.9484299754	2086869.4753148903	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
86	serving.s86	rmsnorm	1	2088104.8871158902	2093099.8744127837	1764.368211	835.17943409999998	1321.3112487934995	1074.1284029999999
87	serving.s87	swiglu_gemm	128	2094335.2862137835	2179266.2288662973	225839.131008	532697.23737600003	9975135.8555537462	137488.43558399999
88	serving.s88	gemm	64	2180501.6406672974	2226394.2386979572	112919.565504	213461.75289599999	2542000.7377701998	68744.217791999996
89	serving.s89	rmsnorm	1	2227629.6504989574	2232624.6377958516	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
90	serving.s90	gemm	96	2233860.0495968517	2254208.7783446671	169379.348256	269037.86419200001	1411944.4206542373	103116.326688
91	serving.s91	fused_attention	72	2255444.1901456672	2265070.6912956135	127034.5111919998	181414.20321280009	99261.596536193043	77337.245016000015
92	serving.s92	attention_merge	8	2266306.1030966137	2271966.9703110554	14114.945688	14690.269152000001	7888.6956515312195	8593.0272239999995
93	serving.s93	gemm	64	2273202.3821120556	2289305.9089969709	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
94	serving.s94	rmsnorm	1	2290541.320797971	2295536.3080948652	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
95	serving.s95	swiglu_gemm	128	2296771.7198958653	2381702.662548379	225839.131008	532697.23737600003	9975135.8555537462	137488.43558399999
96	serving.s96	gemm	64	2382938.0743493792	2428830.672380039	112919.565504	213461.75289599999	2542000.7377701998	68744.217791999996
97	serving.s97	rmsnorm	1	2430066.0841810391	2435061.0714779333	1764.368211	835.17943409999998	1321.3112487937324	1074.1284029999999
98	serving.s98	gemm	96	2436296.4832789334	2456645.2120267488	169379.348256	269037.86419200001	1411944.4206542373	103116.326688
99	serving.s99	fused_attention	72	2457880.6238277489	2467507.1249776953	127034.5111919998	181414.20321280009	99261.596536193043	77337.245016000015
100	serving.s100	attention_merge	8	2468742.5367786954	2474403.4039931372	14114.945688	14690.269152000001	7888.6956515312195	8593.0272239999995
101	serving.s101	gemm	64	2475638.8157941373	2491742.3426790526	112919.565504	213461.75289599999	635500.18444254994	68744.217791999996
