wait_index	producer	group
1357	12	29
1358	12	30
1359	12	31
1360	12	32
1361	12	33
1362	12	34
1363	12	35
1364	12	36
1365	12	37
1366	12	38
1367	12	39
1368	12	40
1369	12	41
1370	12	42
1371	12	43
1372	12	44
1373	12	45
1374	12	46
1375	12	47
1376	12	48
1377	12	49
1378	12	50
1379	12	51
1380	12	52
1381	12	53
1382	12	54
1383	12	55
1384	12	56
1385	12	57
1386	12	58
1387	12	59
1388	12	60
1389	12	61
1390	12	62
1391	12	63
1392	13	0
1393	13	1
1394	13	2
1395	14	0
1396	14	1
1397	14	2
1398	14	4
1399	14	5
1400	14	6
1401	14	7
1402	14	8
1403	14	9
1404	14	10
1405	14	11
1406	14	12
1407	14	13
1408	14	14
1409	14	15
1410	14	16
1411	14	17
1412	14	18
1413	14	19
1414	14	20
1415	14	21
1416	14	22
1417	14	23
1418	14	24
1419	14	25
1420	14	26
1421	14	27
1422	14	28
1423	14	29
1424	14	30
1425	14	31
1426	15	0
1427	15	1
1428	15	2
1429	17	4294967295
1430	19	15
1431	21	4294967295
1432	22	4294967295
1433	23	0
1434	23	1
1435	23	2
1436	23	3
1437	23	4
1438	23	5
1439	23	6
1440	23	7
1441	23	8
1442	23	9
1443	23	10
1444	23	11
1445	23	12
1446	23	13
1447	23	14
1448	24	0
1449	24	1
1450	24	2
1451	24	4
1452	24	5
1453	24	6
1454	24	7
1455	24	8
1456	24	9
1457	24	10
1458	24	11
1459	24	12
1460	24	13
1461	24	14
1462	24	15
1463	24	16
1464	24	17
1465	24	18
1466	24	19
1467	24	20
1468	24	21
1469	24	22
1470	24	23
1471	24	24
1472	24	25
1473	24	26
1474	24	27
1475	24	28
1476	24	29
1477	24	30
1478	24	31
1479	25	0
1480	25	1
1481	25	2
1482	26	0
1483	26	1
1484	26	2
1485	26	4
1486	26	5
1487	26	6
1488	26	7
1489	26	8
1490	26	9
1491	26	10
1492	26	11
1493	26	12
1494	26	13
1495	26	14
1496	26	15
1497	26	16
1498	26	17
1499	26	18
1500	26	19
1501	26	20
1502	26	21
1503	26	22
1504	26	23
1505	26	24
1506	26	25
1507	26	26
1508	26	27
1509	26	28
1510	26	29
1511	26	30
1512	26	31
1513	26	32
1514	26	33
1515	26	34
1516	26	35
1517	26	36
1518	26	37
1519	26	38
1520	26	39
1521	26	40
1522	26	41
1523	26	42
1524	26	43
1525	26	44
1526	26	45
1527	26	46
1528	26	47
1529	26	48
1530	26	49
1531	26	50
1532	26	51
1533	26	52
1534	26	53
1535	26	54
1536	26	55
1537	26	56
1538	26	57
1539	26	58
1540	26	59
1541	26	60
1542	26	61
1543	26	62
1544	26	63
1545	27	0
1546	27	1
1547	27	2
1548	27	3
1549	27	4
1550	27	5
1551	27	6
1552	27	7
1553	27	8
1554	27	9
1555	27	10
1556	27	11
1557	27	12
1558	27	13
1559	27	14
1560	27	15
1561	27	16
1562	27	17
1563	27	18
1564	27	19
1565	27	20
1566	27	21
1567	27	22
1568	27	23
1569	27	24
1570	27	25
1571	27	26
1572	27	27
1573	27	28
1574	27	29
1575	27	30
1576	27	31
1577	27	32
1578	27	33
1579	27	34
1580	27	35
1581	27	36
1582	27	37
1583	27	38
1584	27	39
1585	27	40
1586	27	41
1587	27	42
1588	27	43
1589	27	44
1590	27	45
1591	27	46
1592	27	47
1593	27	48
1594	27	49
1595	27	50
1596	27	51
1597	27	52
1598	27	53
1599	27	54
1600	27	55
1601	27	56
1602	27	57
1603	27	58
1604	27	59
1605	27	60
1606	27	61
1607	27	62
1608	27	63
1609	28	0
1610	28	1
1611	28	2
1612	0	0
1613	0	1
1614	0	2
1615	0	3
1616	2	4294967295
1617	4	8
1618	6	4294967295
1619	7	4294967295
1620	8	0
1621	8	1
1622	8	2
1623	8	3
1624	8	4
1625	8	5
1626	8	6
1627	8	7
1628	8	9
1629	8	10
1630	8	11
1631	8	12
1632	8	13
1633	8	14
1634	8	15
1635	10	0
1636	10	1
1637	10	2
1638	10	3
1639	13	0
1640	13	1
1641	13	2
1642	13	3
1643	15	0
1644	15	1
1645	15	2
1646	15	3
1647	17	4294967295
1648	19	8
1649	21	4294967295
1650	22	4294967295
1651	23	0
1652	23	1
1653	23	2
1654	23	3
1655	23	4
1656	23	5
1657	23	6
1658	23	7
1659	23	9
1660	23	10
1661	23	11
1662	23	12
1663	23	13
1664	23	14
1665	23	15
1666	25	0
1667	25	1
1668	25	2
1669	25	3
1670	28	0
1671	28	1
1672	28	2
1673	28	3
1674	0	0
1675	0	1
1676	0	2
1677	0	3
1678	2	4294967295
1679	4	9
1680	6	4294967295
1681	7	4294967295
1682	8	0
1683	8	1
1684	8	2
1685	8	3
1686	8	4
1687	8	5
1688	8	6
1689	8	7
1690	8	8
1691	8	10
1692	8	11
1693	8	12
1694	8	13
1695	8	14
1696	8	15
1697	10	0
1698	10	1
1699	10	2
1700	10	3
1701	13	0
1702	13	1
1703	13	2
1704	13	3
1705	15	0
1706	15	1
1707	15	2
1708	15	3
1709	17	4294967295
1710	19	9
1711	21	4294967295
1712	22	4294967295
1713	23	0
1714	23	1
1715	23	2
1716	23	3
1717	23	4
1718	23	5
1719	23	6
1720	23	7
1721	23	8
1722	23	10
1723	23	11
1724	23	12
1725	23	13
1726	23	14
1727	23	15
1728	25	0
1729	25	1
1730	25	2
1731	25	3
1732	28	0
1733	28	1
1734	28	2
1735	28	3
1736	0	0
1737	0	1
1738	0	2
1739	0	3
1740	2	4294967295
1741	4	10
1742	6	4294967295
1743	7	4294967295
1744	8	0
1745	8	1
1746	8	2
1747	8	3
1748	8	4
1749	8	5
1750	8	6
1751	8	7
1752	8	8
1753	8	9
1754	8	11
1755	8	12
1756	8	13
1757	8	14
1758	8	15
1759	10	0
1760	10	1
1761	10	2
1762	10	3
1763	13	0
1764	13	1
1765	13	2
1766	13	3
1767	15	0
1768	15	1
1769	15	2
1770	15	3
1771	17	4294967295
1772	19	10
1773	21	4294967295
1774	22	4294967295
1775	23	0
1776	23	1
1777	23	2
1778	23	3
1779	23	4
1780	23	5
1781	23	6
1782	23	7
1783	23	8
1784	23	9
1785	23	11
1786	23	12
1787	23	13
1788	23	14
1789	23	15
1790	25	0
1791	25	1
1792	25	2
1793	25	3
1794	28	0
1795	28	1
1796	28	2
1797	28	3
1798	0	0
1799	0	1
1800	0	2
1801	0	3
1802	2	4294967295
1803	4	11
1804	6	4294967295
1805	7	4294967295
1806	8	0
1807	8	1
1808	8	2
1809	8	3
1810	8	4
1811	8	5
1812	8	6
1813	8	7
1814	8	8
1815	8	9
1816	8	10
1817	8	12
1818	8	13
1819	8	14
1820	8	15
1821	10	0
1822	10	1
1823	10	2
1824	10	3
1825	13	0
1826	13	1
1827	13	2
1828	13	3
1829	15	0
1830	15	1
1831	15	2
1832	15	3
1833	17	4294967295
1834	19	11
1835	21	4294967295
1836	22	4294967295
1837	23	0
1838	23	1
1839	23	2
1840	23	3
1841	23	4
1842	23	5
1843	23	6
1844	23	7
1845	23	8
1846	23	9
1847	23	10
1848	23	12
1849	23	13
1850	23	14
1851	23	15
1852	25	0
1853	25	1
1854	25	2
1855	25	3
1856	28	0
1857	28	1
1858	28	2
1859	28	3
1860	0	0
1861	0	1
1862	0	2
1863	0	3
1864	1	4294967295
1865	4	4
1866	6	4294967295
1867	7	4294967295
1868	8	0
1869	8	1
1870	8	2
1871	8	3
1872	8	5
1873	8	6
1874	8	7
1875	8	8
1876	8	9
1877	8	10
1878	8	11
1879	8	12
1880	8	13
1881	8	14
1882	8	15
1883	10	0
1884	10	1
1885	10	2
1886	10	3
1887	13	0
1888	13	1
1889	13	2
1890	13	3
1891	15	0
1892	15	1
1893	15	2
1894	15	3
1895	16	4294967295
1896	19	4
1897	21	4294967295
1898	22	4294967295
1899	23	0
1900	23	1
1901	23	2
1902	23	3
1903	23	5
1904	23	6
1905	23	7
1906	23	8
1907	23	9
1908	23	10
1909	23	11
1910	23	12
1911	23	13
1912	23	14
1913	23	15
1914	25	0
1915	25	1
1916	25	2
1917	25	3
