slot	stage	logical_task	kind	on_cp	tile_m	tile_n	tile_k	split_k	operand_bytes	setup_ns	load_wait_ns	mainloop_ns	epilogue_ns	body_epilogue_ns	harness_tail_ns	run_ns	setup_cycles	load_wait_cycles	mainloop_cycles	epilogue_cycles	body_epilogue_cycles	harness_tail_cycles	run_cycles
2467	4	376	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1203	0	1667	217	30	187	3087
2468	7	120	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1246	0	920	217	30	187	2383
2469	6	120	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1000	0	1118	212	32	180	2330
2470	8	120	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1695	0	55882	241	31	210	57818
2471	8	376	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2651	0	48193	217	30	187	51061
2472	10	120	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1197	0	2194	1939	1751	188	5330
2473	13	120	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1194	0	5963	217	30	187	7374
2474	15	120	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1183	0	2192	1878	1691	187	5253
2475	20	120	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1212	0	1680	219	30	189	3111
2476	19	120	2	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1209	0	1693	215	30	185	3117
2477	19	376	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1225	0	1450	215	30	185	2890
2478	22	120	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1257	0	923	221	30	191	2401
2479	21	120	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1113	0	708	217	30	187	2038
2480	23	120	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1718	0	59118	804	254	550	61640
2481	23	376	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	3517	0	44373	217	30	187	48107
2482	25	120	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1184	0	2191	1858	1670	188	5233
2483	28	120	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1194	0	5953	218	30	188	7365
2484	0	121	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1201	0	2138	1836	1649	187	5175
2485	5	121	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1099	0	1432	217	32	185	2748
2486	4	121	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1166	0	1406	215	30	185	2787
2487	4	377	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1196	0	1595	227	35	192	3018
2488	7	121	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1209	0	890	217	30	187	2316
2489	6	121	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	985	0	1079	217	32	185	2281
2490	8	121	5	0	0	0	0	1	0	1024	0	20480	1024	1024	0	22528	1663	0	58624	1454	254	1200	61741
2491	8	377	5	0	0	0	0	1	0	0	0	17408	0	0	0	17408	2034	0	46901	217	30	187	49152
2492	10	121	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1159	0	2117	1862	1675	187	5138
2493	13	121	4	0	0	0	0	1	0	0	0	2048	1024	1024	0	3072	1157	0	5729	215	30	185	7101
2494	15	121	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1150	0	2108	1831	1643	188	5089
2495	20	121	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1178	0	1644	221	30	191	3043
2496	19	121	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1178	0	1418	215	30	185	2811
2497	19	377	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1159	0	1656	215	30	185	3030
2498	22	121	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1221	0	895	217	30	187	2333
2499	21	121	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	938	0	751	215	30	185	1904
2500	23	121	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1692	0	55984	237	39	198	57913
2501	23	377	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2165	0	47919	217	30	187	50301
2502	25	121	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1148	0	2158	1802	1614	188	5108
2503	28	121	4	0	0	0	0	1	0	0	0	3072	0	0	0	3072	1152	0	5763	218	30	188	7133
2504	0	122	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1165	0	2022	1832	1644	188	5019
2505	5	122	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1071	0	1596	215	30	185	2882
2506	4	122	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1114	0	1393	217	31	186	2724
2507	4	378	2	0	0	0	0	1	0	1024	0	0	1024	0	1024	2048	1144	0	1569	215	30	185	2928
2508	7	122	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1152	0	1089	218	30	188	2459
2509	6	122	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1071	0	758	218	30	188	2047
2510	8	122	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1631	0	57028	241	31	210	58900
2511	8	378	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2488	0	47766	220	31	189	50474
2512	10	122	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1101	0	2083	1807	1620	187	4991
2513	13	122	4	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1110	0	5543	218	30	188	6871
2514	15	122	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1094	0	2075	1746	1559	187	4915
2515	20	122	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1110	0	1582	224	32	192	2916
2516	19	122	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1131	0	1344	217	30	187	2692
2517	19	378	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1129	0	1380	215	30	185	2724
2518	22	122	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1188	0	844	221	30	191	2253
2519	21	122	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	819	0	840	223	31	192	1882
2520	23	122	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1609	0	56633	256	34	222	58498
2521	23	378	5	0	0	0	0	1	0	1024	0	16384	0	0	0	17408	3825	0	44633	217	30	187	48675
2522	25	122	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1095	0	2034	1734	1546	188	4863
2523	28	122	4	0	0	0	0	1	0	0	0	2048	0	0	0	2048	1098	0	5534	217	30	187	6849
2524	0	123	1	0	0	0	0	1	0	0	0	1024	1024	0	1024	2048	1205	0	2594	1878	1693	185	5677
2525	5	123	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1102	0	1632	215	30	185	2949
2526	4	123	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1175	0	1400	216	30	186	2791
2527	4	379	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1181	0	1634	220	30	190	3035
2528	7	123	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1227	0	884	217	30	187	2328
2529	6	123	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	999	0	1061	212	30	182	2272
2530	8	123	5	0	0	0	0	1	0	1024	0	20480	0	0	0	21504	1657	0	57015	236	30	206	58908
2531	8	379	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	1782	0	49073	423	30	393	51278
2532	10	123	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1141	0	2125	1820	1633	187	5086
2533	13	123	4	0	0	0	0	1	0	0	0	2048	1024	1024	0	3072	1145	0	5740	215	30	185	7100
2534	15	123	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1130	0	2135	1824	1637	187	5089
2535	20	123	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1159	0	1397	215	30	185	2771
2536	19	123	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1158	0	1613	223	33	190	2994
2537	19	379	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1162	0	1627	218	30	188	3007
2538	22	123	3	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1177	0	1118	216	31	185	2511
2539	21	123	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1105	0	673	217	30	187	1995
2540	23	123	5	0	0	0	0	1	0	1024	0	19456	0	0	0	20480	1636	0	55239	222	30	192	57097
2541	23	379	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	3675	0	47456	291	30	261	51422
2542	25	123	1	0	0	0	0	1	0	0	0	1024	1024	1024	0	2048	1129	0	2120	1792	1604	188	5041
2543	28	123	4	0	0	0	0	1	0	0	0	2048	1024	0	1024	3072	1135	0	5709	218	30	188	7062
2544	0	124	1	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1236	0	2218	1903	1715	188	5357
2545	5	124	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1150	0	1697	215	30	185	3062
2546	4	124	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1209	0	1680	215	30	185	3104
2547	4	380	2	0	0	0	0	1	0	0	0	1024	0	0	0	1024	1219	0	1689	215	30	185	3123
2548	7	124	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1251	0	899	217	30	187	2367
2549	6	124	3	0	0	0	0	1	0	1024	0	0	0	0	0	1024	1026	0	876	217	30	187	2119
2550	8	124	5	0	0	0	0	1	0	1024	0	21504	0	0	0	22528	1697	0	59466	1312	118	1194	62475
2551	8	380	5	0	0	0	0	1	0	1024	0	17408	0	0	0	18432	2206	0	46873	217	30	187	49296
